rnb1kb1r/p3pppp/2pq1n2/1p6/2BP4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c3b5 c6b5 c4b5 c8d7 b5e2 g7g6 e1h1 f8g7 c2c4 e8h8
r1b1kb1r/pp1p1ppp/2n1pn2/2q5/8/2NBPN2/PPP2PPP/R1BQK2R w KQkq -,e3e4 f8e7 e1h1 e8h8 c1e3 c5a5 e3d2 a5c7 c3b5 c7b8
3R4/8/1k6/8/4K3/8/8/Q7 w - -,e3e4 f8e7 e1h1 e8h8 c1e3 c5a5 e3d2 a5c7 c3b5 c7b8
rnbqkb1r/pp4pp/2p1pn2/3p1p2/3PPB2/2N2P2/PPP3PP/R2QKBNR w KQkq -,f1d3 c6c5 d4c5 b8c6 d1e2 f8c5 e4d5 f6d5 c3d5 d8d5
r1b1kbnr/ppqnpppp/2pp4/8/3P1P2/3BP3/PPP3PP/RNBQK1NR w KQkq -,e3e4 e7e5 c2c3 g8f6 g1e2 g7g6 e1h1 f8g7 e2g3 e8h8
8/8/8/8/3K4/2R5/1k6/8 w - -,e3e4 e7e5 c2c3 g8f6 g1e2 g7g6 e1h1 f8g7 e2g3 e8h8
r1b1kbnr/ppqn1ppp/2pp4/4p3/3P1P2/3BPN2/PPP3PP/RNBQK2R w KQkq -,c2c4 g7g6 e1h1 f8g7 b1c3 g8h6 g1h1 e5d4 e3d4 e8h8
rn2kb1r/pp2pppp/2p5/q2p1b2/2PPnB2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,d1b3 e4c3 b2c3 e7e6 f3d2 a5b6 c4c5 b6b3 a2b3 b8d7
rnbq1rk1/ppp1bppp/5n2/3p4/3P1B2/3B4/PPP1NPPP/RN1QK2R w KQ -,e1h1 c8g4 b1d2 g4h5 c2c3 c7c5 d4c5 e7c5 d2b3 c5b6
r1bqk1nr/ppp2pp1/2np4/2b1p2p/2B1P3/2N2N1P/PPPP1PP1/R1BQK2R w KQkq -,e1h1 c8e6 c4e6 f7e6 d2d3 g8f6 c3a4 c5b6 c2c3 e8h8
rn2k1nr/ppp2ppp/3p4/2b1p3/2B1P3/2NP1q2/PPP2PPP/R1B2RK1 w kq -,g2f3 g8e7 c3e2 b8d7 c2c3 c5b6 g1h1 h8f8 a2a4 a7a5
8/2k5/1NB5/2K5/8/8/8/8 w - -,g2f3 g8e7 c3e2 b8d7 c2c3 c5b6 g1h1 h8f8 a2a4 a7a5
rnb1k2r/ppppqppp/5n2/8/1bPP4/2N1B3/PP3PPP/R2QKBNR w KQkq -,f1d3 e8h8 g1f3 d7d5 e1h1 d5c4 d3c4 c8e6 d4d5 e6g4
r1b1k2r/1pq1bp2/p3p3/4p1p1/4P3/2NB1Q2/PPP3PP/2KR3R w kq -,d1f1 h8h7 h2h4 g5h4 f3g4 h7h8 g2g3 c8d7 g3h4 e8a8
8/8/3Q4/8/8/1k6/8/6K1 w - -,c1b1 c8d7 d3e2 h8h7 d1d3 e8a8 h1d1 c8b8 h2h3 d7e8
rnbqk1nr/ppp2pb1/3p3p/6p1/3PPp2/2NQ1N2/PPP3PP/R1B1KB1R w KQkq -,h2h4 b8c6 h4g5 h6g5 h1h8 g7h8 d3b5 c8g4 f3g5 a7a6
r1bqk1nr/ppp2pbp/2n1p1p1/3p4/3P4/3BPN2/PPPN1PPP/R1BQK2R w KQkq -,e1h1 g8f6 f1e1 e8h8 b2b3 b7b6 c1b2 c8b7 c2c4 c6b4
r1bq1rk1/ppp2pbp/2n1pnp1/3p4/3P4/3BPN2/PPPNQPPP/R1B2RK1 w - -,b2b3 f6d7 c1a3 f8e8 c2c4 a7a5 a1d1 b7b6 a3b2 a5a4
rnbqkbnr/pp2pp1p/3p2p1/3P4/2P5/5N2/PP3PPP/RNBQKB1R w KQkq -,f1e2 c8g4 f3d4 g4e2 d1e2 f8g7 c1e3 g8f6 b1c3 e8h8
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P3P3/1BPP1N2/1P3PPP/RNBQ1RK1 w - -,f1e1 c6a5 b3a2 c7c5 b1a3 d8d7 a4b5 a6b5 c1g5 a8a6
rn1qkb1r/pp2pppp/3p1nb1/2p5/4PPP1/2N2N1P/PPPP4/R1BQKB1R w KQkq -,f4f5 a7a6 d2d4 c5d4 f3d4 e7e6 g4g5 f6h5 c1e3 f8e7
r2r1k2/pp3ppQ/1q2bb1p/3p4/1n1P1N2/2N5/PPB2PPP/4RRK1 w - -,a2a3 b6d6 f4e6 f7e6 a3b4 a8c8 c2d1 f8e7 d1g4 c8c6
rnbqkb1r/ppp3pp/4pn2/3p1p2/2PP3P/2N5/PP2PPP1/R1BQKBNR w KQkq -,c1f4 c7c5 g1f3 c5d4 f3d4 f8c5 e2e3 e8h8 d4f3 c5b4
r1b1kbnr/pp2pppp/1qn5/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,d4c5 b6c5 b1c3 c8g4 c3b5 g4f3 d1f3 c6e5 f3d5 c5d5
