r1b1k1nr/pp1p1ppp/2n1p3/qN6/1b2P3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,a2a3 b4c3 b5c3 g8f6 d1f3 e8h8 e1a1 a7a6 c1b1 b7b5
8/5K2/5R2/6k1/8/8/8/8 w - -,d1g4 g8e7 e1a1 e8h8 a2a3 b4c3 b5c3 d7d5 g4h5 f8d8
8/8/8/5KR1/8/8/7k/8 w - -,d1g4 g8e7 e1a1 e8h8 a2a3 b4c3 b5c3 d7d5 g4h5 f8d8
r2qkbnr/ppp2ppp/4p3/3Pn3/2p1P3/2N2P2/PP3P1P/R1BQKB1R w KQkq -,f3f4 e5d3 f1d3 c4d3 c1e3 c7c6 d5e6 f7e6 d1b3 d8d7
rnbqk1nr/pp1p1pbp/4p1p1/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d4 c5d4 f3d4 g8e7 e1h1 a7a6 b5e2 b7b5 d4b3 c8b7
r1b1k2r/ppp2ppp/2nqpn2/3p4/3P4/2NQ1N2/PPP1PPPP/R3KB1R w KQkq -,e2e3 e8h8 f1e2 a7a6 a1d1 c6b4 d3d2 c7c5 e1h1 b4c6
rnbqk2r/1p3ppp/p2bpn2/3p4/3P1B2/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,f3e5 d8c7 f1d3 b8c6 d1e2 f6d7 d2f3 d6e5 d4e5 f7f6
rnbqk1nr/pp2ppbp/2pp2p1/8/8/2PP2P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3 e7e5 e1h1 g8f6 e2e4 e8h8 b1d2 f8e8 f1e1 c8e6
rnbqk2r/pp2ppbp/2pp1np1/8/8/2PP1NP1/PP2PPBP/RNBQK2R w KQkq -,e1h1 e7e5 e2e4 e8h8 f1e1 f8e8 a2a4 a7a5 b1a3 h7h6
8/1PK5/8/8/8/8/1k6/8 w - -,h2h3 d6d5 e1h1 e8h8 a2a4 a7a5 d1c2 b8d7 e2e4 e7e5
2kr1b1r/ppp1pppp/2n1bn2/1B6/8/2N2N2/PPPP1PPP/R1B1K2R w KQ -,b5c6 b7c6 d2d3 h7h6 c1e3 c8b7 e1h1 f6d7 f3d4 e6d5
8/8/4K2k/8/7N/3B4/8/8 w - -,h4f5 h6h5 e6e5 h5g4 f5d4 g4g5 d4c2 g5h5 c2e3 h5g5
rnbq1rk1/pp2ppbp/3p1np1/8/3pP3/2N1BN1P/PPP1BPP1/R2QK2R w KQ -,e3d2 d4c3 d2c3 e7e5 d1d3 d6d5 e4d5 e5e4 c3f6 e4d3
8/6k1/4Q3/8/8/4KN2/8/8 w - -,e3d2 d4c3 d2c3 e7e5 d1d3 d6d5 e4d5 e5e4 c3f6 e4d3
8/8/8/4NB2/8/4K3/1k6/8 w - -,e3d2 d4c3 d2c3 e7e5 d1d3 d6d5 e4d5 e5e4 c3f6 e4d3
r1bqk1nr/ppp2ppp/2np4/4p3/2B1PP2/2NP4/PPP3PP/R1BQK1bR w KQkq -,f4f5 g1d4 d1g4 e8f8 g4h5 d4c3 b2c3 d8e7 g2g4 d6d5
rnbqk2r/pp2ppbp/3p1np1/2p5/2P5/2NP1N2/PP1BPPPP/R2QKB1R w KQkq -,g2g3 b7b6 f1g2 c8b7 e1h1 e8h8 a2a3 b8c6 c3d5 d8d7
r1b1kb1r/1pp2ppp/p1n2q2/3pN3/B3n3/8/PPPP1PPP/RNBQR1K1 w kq -,e5c6 f6f2 g1h1 f8d6 d2d3 c8h3 c6e5 b7b5 g2h3 d6e5
rnbq1rk1/pp2ppbp/3p1np1/2p5/2P1P3/2NP1N2/PP1B1PPP/R2QKB1R w KQ -,h2h3 b8c6 f1e2 f6e8 a2a3 e8c7 b2b4 c7e6 a1b1 e6d4
rnbqk2r/pp2ppbp/3p1np1/8/3PP3/5N2/PP2BPPP/RNBQK2R w KQkq -,b1c3 e8h8 e1h1 c8g4 c1e3 b8c6 a1c1 e7e5 d4e5 d6e5
rnbqkb1r/ppp2ppp/3p1n2/4p3/3P1B2/8/PPPNPPPP/R2QKBNR w KQkq -,e2e4 e5f4 g1f3 f8e7 f1d3 e8h8 d1e2 g8h8 c2c3 b8c6
rnbqkb1r/1p3ppp/p3pn2/2p5/2B2P2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -,a2a4 b8c6 b2b3 f8e7 c1b2 e8h8 d1e2 f6d5 f4f5 d5c3
r4rk1/pR2pp1p/n5p1/4P3/3b4/5B2/q2B1PPP/3Q1RK1 w - -,d2h6 f8d8 d1c1 a2e6 c1g5 d8e8 f1d1 a6c5 b7c7 e6b6
r1b1kb1r/1pp1pppp/p1nq1n2/8/3P4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,d4d5 c6e5 f3e5 d6e5 e3e4 e5d6 f1e2 e7e6 e1h1 f8e7
r1bqnrk1/pppp1ppp/1bn5/4P3/2BP4/5N2/PP3PPP/RNBQ1RK1 w - -,d4d5 c6b4 a2a3 b4a6 c1g5 f7f6 e5f6 e8f6 d5d6 g8h8
