5k2/1p3p2/p1b1nN2/6p1/8/6BP/2r1qPPK/Q2R4 w - -,g3d6 f8g7 f6g4 g7g8 d1e1 e2d3 g4f6 g8g7 e1e6 d3c3
8/3pk3/8/8/8/3K4/8/8 w - -,d3e2 e7e6 e2d2 e6d6 d2e2 d6c5 e2d3 c5d5 d3e3 d5c4
k7/P4p2/1K1r2pp/8/5P1P/R5P1/8/8 w - -,b6c5 d6d7 c5c6 d7e7 a3d3 e7e6 c6c5 h6h5 d3d8 a8a7
rq2k2r/ppp2p2/2P1pp1b/1B5p/8/2N2N2/PPP3PP/1K1R3R w kq -,c6b7 e8f8 b5c6 b8b7 c6b7 a8b8 b7a6 f8g7 a6c4 h8d8
r3kbnr/pp3ppp/2n5/2p1Pb2/8/2P5/PP1N1PPP/R1BK1BNR w kq -,f2f4 e8a8 g1f3 f7f6 f1b5 f6e5 b5c6 b7c6 f3e5 g8h6
5R2/3Q1b2/6kp/1prq1ppN/6P1/7P/5P2/6K1 w - -,f2f4 e8a8 g1f3 f7f6 f1b5 f6e5 b5c6 b7c6 f3e5 g8h6
6b1/3Q4/6kp/1prq1ppN/6P1/7P/5P2/6K1 w - -,f2f4 e8a8 g1f3 f7f6 f1b5 f6e5 b5c6 b7c6 f3e5 g8h6
r2qk1nr/ppp2pp1/3b3p/4n3/2B3b1/5N2/PPP2PPP/RNBQK2R w KQkq -,c4d3 d8e7 c1e3 d6b4 b1c3 e8a8 e1h1 g4f3 g2f3 b4c3
8/1k6/2R5/3K4/8/8/8/8 w - -,c4d3 d8e7 c1e3 d6b4 b1c3 e8a8 e1h1 g4f3 g2f3 b4c3
r1bqk2r/1p1pbppp/p1n2n2/2p1p3/2P1P3/P1N2N2/1P1PBPPP/R1BQK2R w KQkq -,e1h1 a8b8 f1e1 e8h8 a1b1 h7h6 e2f1 f8e8 h2h3 e7f8
rnb2rk1/p3ppbp/3p1np1/qppP4/2P1P3/2N1BP2/PP2N1PP/R2QKB1R w KQ -,e2f4 b5c4 e3d2 b8d7 f1c4 d7e5 c4e2 c8a6 e1h1 f6d7
r2qkb1r/p4ppp/p1n1pn2/2pp1b2/Q2P1B2/2P1PN2/PP3PPP/RN2K2R w KQkq -,a4c6 f6d7 e1h1 f5d3 f1c1 f8e7 b1d2 e8h8 f4d6 a8c8
r2qk1nr/2pbbppp/p1np4/1p2p3/B3P3/2P2N1P/PP1P1PP1/RNBQ1RK1 w kq -,a4b3 c6a5 b3c2 g7g5 d2d4 h7h5 d4e5 g5g4 e5d6 c7d6
r1b1k1nr/pppp1ppp/2n3q1/4P3/1b1P1p2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,f1d3 g6g2 h1g1 g2h3 c1f4 d7d6 e5d6 c7d6 d4d5 c6e7
r4rk1/pp2bpp1/2p1pn1p/q6P/3PNB2/3Q4/PPP2PP1/1K1R3R w - -,g2g4 a8d8 h1g1 d8d7 f4e5 f6e4 d3e4 a5d8 a2a3 c6c5
r2qkb1r/ppp2ppp/2n1pnb1/3p4/3P1BP1/2P1PP1P/PP6/RN1QKBNR w KQkq -,h3h4 h7h5 g4g5 f6d7 g1e2 e6e5 f4g3 f8d6 f1h3 d7b6
r2qk1nr/ppp2ppp/2bp4/2b5/4P3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,e3c5 d6c5 f1c4 g8f6 e1h1 e8h8 e4e5 f6d7 d1e2 d7b6
8/8/8/8/4B3/4K2N/1k6/8 w - -,e3d4 b2b3 e4d5 b3c2 h3f4 c2b2 d4d3 b2c1 d3c3 c1b1
r3kb1r/ppqnpppp/3p1n2/8/3pP3/2P2N2/PPQ2PPP/RNB1K2R w KQkq -,c2e2 c7c6 e1h1 c6e4 e2e4 f6e4 c3d4 a8c8 c1e3 g7g6
4r3/1Q2Npkp/6p1/6R1/8/8/5PPP/6K1 w - -,c2e2 c7c6 e1h1 c6e4 e2e4 f6e4 c3d4 a8c8 c1e3 g7g6
2kr1b1r/ppp2ppp/2np1n2/5b2/3Pq3/N4N2/PPP1BPPP/R1BQ1RK1 w - -,h2h3 e4e6 f3g5 e6d7 d4d5 c6b4 c2c4 c7c5 c1d2 d8e8
8/8/4K1k1/8/8/5BB1/8/8 w - -,f1e1 d6d5 e2b5 e4g4 b5c6 b7c6 d1e2 c8b7 h2h3 g4h5
1rr4k/p6p/3q2p1/5p2/2pbp3/P1Bn2PP/1P1Q1PB1/1R3RK1 w - -,g3g4 b8b3 d2g5 c8f8 a3a4 d6f6 g5h6 f8b8 b1d1 d4c3
r1bq1rk1/pp3ppp/2nbpn2/3p4/3P4/2NBPN2/PP1B1PPP/R2Q1RK1 w - -,a1c1 c8d7 h2h3 a7a6 f1e1 a8c8 a2a3 c6e7 f3e5 d7e8
rnbqk2r/pppnbppp/4p3/4P1B1/8/5N2/PPP2PPP/RN1QKB1R w KQkq -,h2h4 a7a6 d1e2 h7h6 g5f4 b7b5 b1c3 c7c5 e1a1 c8b7
rnbqkbnr/1pp2ppp/p7/3p4/8/5NP1/PP1PPP1P/RNBQKB1R w KQkq -,f1g2 f8e7 b2b3 g8f6 e1h1 e8h8 c1b2 f8e8 d1c2 b8c6
rnbqk2r/pp2ppbp/5np1/2pp4/3P1BP1/2N2P2/PPP1P2P/R2QKBNR w KQkq -,d1d3 c5d4 c3b5 e8h8 b5c7 e7e5 f4e5 b8c6 e5g3 a8b8
8/7p/8/q6P/3B4/3P2K1/3k4/2N5 w - -,c1b3 d2d3 b3a5 d3d4 g3f4 d4d5 f4g5 d5e4 a5b3 e4f3
rnbqkbnr/4pppp/p1pp4/1p1P4/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq -,a2a4 b5b4 f1c4 g8f6 e1h1 f6e4 c2c3 e4f6 c3b4 c6d5
r2qr1k1/ppp2ppp/1bnP4/8/2BPQ3/5N2/PP3PPP/R1B1K2R w KQ -,f3e5 d8f6 d6d7 e8e7 c1e3 c6e5 d4e5 b6a5 e1e2 e7e5
r1bqk1nr/pp3pbp/2np2p1/2p1p3/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,d2d3 g8e7 b1c3 c8e6 a2a3 h7h6 a1b1 a7a5 e2e4 e8h8
rnbqk1nr/ppppbppp/8/4p3/4P3/2P2N2/P2P1PPP/RNBQKB1R w KQkq -,d1c2 d7d5 f3e5 g8f6 d2d3 e8h8 e5f3 d5e4 d3e4 f8e8
rnbq1rk1/ppp1ppbp/6p1/3nN3/3P4/2PB4/PP3PPP/RNBQK2R w KQ -,d3c4 c7c5 e5f3 c5d4 f3d4 d5b6 c4b3 a7a5 e1h1 a5a4
rnbqkbnr/1pppppp1/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,d2d4 d7d5 c1f4 c7c5 e2e3 b8c6 f1b5 c5d4 e3d4 g8h6
5Q2/8/8/8/4k3/2K2b2/8/8 w - -,g1f3 d7d5 d2d4 b8c6 a2a4 g8f6 g2g3 f6e4 f1g2 c8f5
r2qkb1r/pppb1ppp/5n2/3P4/3p4/2P2Q2/PP3PPP/RNB1KB1R w KQkq -,f1c4 d8e7 f3e2 e7e2 e1e2 b7b5 c4d3 f6d5 c3d4 d5b4
r3kb1r/ppq2ppp/2n1pn2/3p3b/3P4/1QPB1N1P/PP1N1PP1/R1B1K2R w KQkq -,f3h4 g7g5 h4f3 e8a8 d2f1 h7h6 g2g4 h5g6 d3g6 f7g6
8/8/8/5k2/3p2p1/3P2K1/7P/8 w - -,g3f2 f5f4 f2e2 g4g3 h2h3 g3g2 e2f2 g2g1n f2g1 f4e3
rnbq1rk1/ppp1bppp/1n2p3/8/2PP4/2NB1N2/PP3PPP/R1BQK2R w KQ -,e1h1 b8c6 c1e3 e7f6 b2b3 b6d7 d3e4 f8e8 f1e1 c6e7
2rqnrk1/pp3p1p/1b1p2p1/3p3Q/4P3/5P2/Pn2NP1P/RB4RK w - -,h5h3 b2c4 a2a4 d8f6 a1a2 e8g7 a2c2 d5e4 f3e4 c8c5
6k1/7p/p7/8/3B1P2/4P2P/P2p2P1/2rR2K1 w - -,g1f2 c1d1 f2e2 d1g1 e2d2 g1g2 d2d3 g2a2 h3h4 a2h2
8/8/8/4k3/8/8/2K5/7Q w - -,g1f2 c1d1 f2e2 d1g1 e2d2 g1g2 d2d3 g2a2 h3h4 a2h2
8/3BN3/k7/2K5/8/8/8/8 w - -,g1f2 c1d1 f2e2 d1g1 e2d2 g1g2 d2d3 g2a2 h3h4 a2h2
8/5ppp/1k2p3/8/P1K5/8/5PPP/8 w - -,f2f4 h7h5 g2g3 b6c6 a4a5 h5h4 g3h4 g7g6 c4b4 f7f6
r1bq1rk1/ppppnpbp/2n3p1/1B2p3/8/1P2P3/PBPPNPPP/RN1Q1RK1 w - -,h2h3 d7d5 d2d4 e5d4 b5c6 e7c6 e2d4 c6e5 b1c3 f8e8
rnbqkb1r/pp2nppp/8/3Bp3/4P3/8/PP3PPP/RNBQK1NR w KQkq -,d5f7 e8f7 d1d8 e7c6 d8d1 c8e6 g1f3 h7h6 e1h1 f7g8
r2qk1nr/1b1pppbp/p1n3p1/1pp5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 w kq -,c1e3 c6d4 a2a4 b5b4 c3a2 a6a5 c2c3 d4e6 d3d4 d7d6
8/7k/5KN1/8/B7/8/8/8 w - -,a2a3 e7e6 c1e3 d7d6 d1d2 a8c8 a1b1 g8f6 e3h6 e8h8
rnbq1b1r/pp2nkpp/8/4p3/4P3/8/PP3PPP/RNBQK1NR w KQ -,d1d8 e7c6 d8d3 f8b4 c1d2 b4d2 b1d2 h8d8 d3b3 f7g6
8/8/2P5/8/6p1/K2k3p/6P1/8 w - -,
8/1k6/6Q1/8/1N6/4K3/8/8 w - -,g2h3 g4h3 c6c7 h3h2 c7c8q h2h1q c8d7 d3c3 d7c7 c3d3
rnbqk1nr/pp2bppp/8/3Bp3/4P3/8/PP3PPP/RNBQK1NR w KQkq -,d1b3 g8f6 d5f7 e8f8 g1f3 b8c6 f7d5 d8b6 d5c6 b6c6
8/8/1kN5/8/4Q3/4K3/8/8 w - -,d1b3 g8f6 d5f7 e8f8 g1f3 b8c6 f7d5 d8b6 d5c6 b6c6
8/4k3/8/5B2/4K3/2N5/8/8 w - -,c3d5 e7d6 d5c3 d6c5 f5e6 c5d6 e6a2 d6d7 e4e5 d7e7
r1b1kb1r/pp2pppp/1qn2n2/3p4/2pP1B2/NQP2N2/PP2PPPP/R3KB1R w KQkq -,b3d1 e7e5 f4c1 e5d4 f3d4 c6d4 d1d4 f8c5 d4e5 c8e6
rnbqkb1r/5ppp/1pp1pn2/3p2B1/3P4/5N2/PP2PPPP/RN1QKB1R w KQkq -,e2e3 f8b4 b1c3 h7h6 g5f6 d8f6 f1d3 e8h8 e1h1 b8d7
r1bq1rk1/ppppbppp/2n1p3/7n/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R w KQ -,f1d3 b7b6 h2h4 h5f4 e3f4 c8b7 d1e2 a7a5 a2a4 f7f5
rn1qkb1r/pp1bpppp/5n2/1Bp5/3Pp3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,f3e5 d7b5 c3b5 a7a6 b5c3 c5d4 c1e3 d4c3 d1d8 e8d8
6k1/8/3N4/8/6P1/8/3q2K1/8 w - -,f3e5 d7b5 c3b5 a7a6 b5c3 c5d4 c1e3 d4c3 d1d8 e8d8
r1bqkb1r/1p2pppp/p1n2n2/1BpP4/4p3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,b5c4 e4f3 d5c6 d8d1 c3d1 f3g2 h1g1 b7c6 g1g2 g7g6
r1k5/8/K7/8/5Q2/8/8/8 w - -,b5c4 e4f3 d5c6 d8d1 c3d1 f3g2 h1g1 b7c6 g1g2 g7g6
r1bqkb1r/p1p2ppp/5n2/np1Pp1N1/8/8/PPPP1PPP/RNBQKB1R w KQkq -,f1b5 c8d7 d1e2 d7b5 e2b5 c7c6 d5c6 d8c7 b1c3 a5c6
r7/3k4/1K6/8/5Q2/8/8/8 w - -,f1b5 c8d7 d1e2 d7b5 e2b5 c7c6 d5c6 d8c7 b1c3 a5c6
r2qkb1r/pp1bpppp/2np1n2/2p5/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,f1e1 c6e5 a4b3 e5f3 d1f3 d8c7 d2d3 g7g6 a2a4 f8g7
r1b1k1nr/ppp2pp1/2np1q1p/2b1p3/4P3/2PP1N2/PP2BPPP/RNBQ1RK1 w kq -,b2b4 c5b6 b1d2 g8e7 a2a4 a7a6 d2c4 e8h8 c4b6 c7b6
r1bqkb1r/pppn1p2/3pp1np/6p1/3PP3/2N2NB1/PPP2PPP/R2QKB1R w KQkq -,h2h4 f8g7 d1d2 g5g4 h4h5 g4f3 h5g6 f7g6 g2f3 e6e5
8/8/8/4k3/6K1/8/3Q4/8 w - -,h2h4 f8g7 d1d2 g5g4 h4h5 g4f3 h5g6 f7g6 g2f3 e6e5
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P2P2/3P1N2/PP2P1PP/RNBQKB1R w KQkq -,b1c3 d7d5 f3e5 c6e5 f4e5 f6d7 c4d5 e6d5 d3d4 c5d4
r1bqkb1r/pp3ppp/2n2n2/2Pp4/3p4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c3b1 f8c5 f1e2 e8h8 e1h1 c8f5 b1a3 f8e8 c1g5 h7h6
r2qk2r/ppp2pp1/2np1n2/2b1p1N1/2B1P3/2PP2p1/PP3PP1/RNBQ1RK1 w kq -,c1e3 d6d5 e3c5 g3f2 c5f2 d5c4 d3c4 h8h5 f2e3 d8d1
rnb1k2r/1p4pp/2p1pp2/p3N3/P1pPnQ2/6P1/1q2PPBP/RN3RK1 w kq -,f4g4 e8h8 e5c4 b2a1 g4e4 a8a6 c4d6 g8h8 d6c8 f8c8
8/5k2/N2Q4/3K4/8/8/8/8 w - -,f4g4 e8h8 e5c4 b2a1 g4e4 a8a6 c4d6 g8h8 d6c8 f8c8
r1b1kb1r/1pBnpppp/1pn5/2pp4/3P4/2P1P3/PP3PPP/RN2KBNR w KQkq -,f1b5 e7e6 a2a4 f8e7 g1f3 e7d8 c7f4 d7f6 h2h4 c8d7
r1bqk1nr/pppp2pp/2n5/1B2p3/4P3/5N2/PPPb1PPP/RN1QK2R w KQkq -,
r2qkbnr/1p1n1ppp/p1p1p3/3pPb2/3P4/2P2N1P/PP3PP1/RNBQKB1R w KQkq -,f1e2 c6c5 e1h1 c5d4 c3d4 g8e7 f3h4 f5e4 b1c3 e7c6
r3k2r/pp1bppbp/5np1/n2p4/5B2/2P1PN2/PP1NBPPP/R3K2R w KQkq -,h2h4 a5c6 a2a4 e8h8 a4a5 a7a6 f3e5 c6e5 f4e5 d7c6
r4rk1/p6p/2pb1q2/n5p1/6b1/2PB1NP1/PPP2P2/R1BQR1K1 w - -,d1e2 g4f3 e2e6 f6e6 e1e6 f8e8 e6e8 a8e8 c1g5 e8e5
r3k2r/pp1bppbp/2n2np1/3pN3/5B2/2P1P3/PP1NBPPP/R3K2R w KQkq -,e5d7 f6d7 g2g4 h7h6 f4g3 e7e6 f2f4 a8c8 e1a1 d7c5
r3k2r/pp2ppbp/2n3p1/2np4/5B2/2P1P3/PP1NBPPP/2KR3R w kq -,g2g4 h7h6 h2h4 a7a6 d2b3 c5b3 a2b3 e7e6 h4h5 g6g5
5r1k/r4ppp/5n2/3N4/8/7R/PpP5/1K5R w - -,
r1bqkb1r/pp1pnppp/2n1p3/2p5/4P3/1B3N2/PPPP1PPP/RNBQK2R w KQkq -,d2d4 c5d4 f3d4 c6d4 d1d4 b7b5 b1c3 c8a6 c1f4 e7c6
8/8/6k1/7p/4pKP1/P3R2P/8/r7 w - -,g4h5 g6h5 f4e4 a1d1 e3d3 d1a1 e4d5 h5g5 d3f3 a1c1
8/8/8/8/4K2k/P3R2P/8/r7 w - -,e4d4 a1f1 a3a4 f1a1 e3e4 h4h3 d4c5 h3g3 e4b4 g3f3
8/8/8/6k1/2K5/P1R4P/8/r7 w - -,c3f3 a1c1 c4b3 c1b1 b3a2 b1b7 a3a4 b7c7 a2b3 c7e7
8/8/8/6k1/2K5/P4R1P/8/1r6 w - -,a3a4 b1a1 c4b4 a1b1 f3b3 b1f1 a4a5 f1f4 b4b5 f4f5
8/8/8/6k1/P1K5/5R1P/8/r7 w - -,c4b4 a1e1 f3c3 e1e4 b4b5 e4e8 a4a5 e8b8 b5a4 b8f8
r2q2nr/1b1npkb1/2p3p1/1p6/3p4/3B1N2/PP4PP/RNB2RK1 w - -,h3h4 g5g4 f3f8 a1a4 c4b5 a4a1 f8g8 g4h5 g8c8 a1b1
r2qk1nr/1b1np1b1/2p3p1/1p4N1/3p4/3B4/PP4PP/RNB2RK1 w - -,h3h4 g5g4 f3f8 a1a4 c4b5 a4a1 f8g8 g4h5 g8c8 a1b1
r2qkb1r/ppp2ppp/2np1n2/8/3pP1b1/2N2NP1/PPP2PBP/R1BQK2R w KQkq -,c3b5 f6e4 b5d4 d8f6 d4c6 b7c6 h2h3 g4f3 d1f3 f6f3
r1bqk1nr/ppp1ppbp/2np2p1/8/8/2PP1N2/PP1NPPPP/R1BQKB1R w KQkq -,e2e4 e7e5 f1e2 a7a5 d3d4 e5d4 c3d4 g8f6 e1h1 e8h8
rnbqk2r/1p3ppp/p1pb1p2/8/3P4/3BB3/PPP2PPP/R2QK1NR w KQkq -,g1e2 e8h8 c2c3 b8d7 d1c2 h7h6 e1h1 f8e8 c3c4 d7f8
r1b1k2r/pp2nppp/1qn1p3/2bpP3/8/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,b2b4 c5b4 c3b4 c6b4 b1c3 c8d7 a1b1 b6a5 c3e2 b4d3
rn1qkbnr/ppp2pp1/3p4/4p2p/2B1P1b1/3P1N2/PPP2PPP/RNBQK2R w KQkq -,b1c3 c7c6 h2h3 g4f3 d1f3 d8f6 f3g3 b8d7 e1h1 h5h4
rn1qkb1r/ppp2pp1/3p1n2/4p2p/2B1P1b1/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,h2h3 g4f3 d1f3 b8c6 c1e3 g7g6 e1a1 f8g7 c1b1 d8d7
r2qkb1r/2p2ppp/p2pb3/2nQP3/8/4BN2/PPP2PPP/RN2K2R w KQkq -,e3g5 e6d5 g5d8 a8d8 e5d6 f8d6 b1d2 f7f6 e1h1 e8f7
4k3/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/4K3 w - -,e1d2 d5e4 d2e3 f7f5 e3f4 e8e7 f4e5 b7b5 h2h4 e7f7
r1bqkb1r/pp3ppp/2n2n2/2Pp4/1P2p3/2P2NP1/P3PP1P/RNBQKB1R w KQkq -,f3d4 a7a5 c1f4 a5b4 d4b5 f8c5 b5c7 e8e7 c7a8 d8a5
