rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq -,g2g4 d7d5 f1g2 b8c6 c2c4 d5d4 b2b4 e7e5 d1a4 g8f6,-155
rnbqk1nr/pp2p1bp/3p2p1/2pP1p2/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c1d2 g8f6 g2g3 e7e5 d5e6 c8e6 f1g2 b8c6 f3g5 e6g8,74
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -,f4g3 c7c5 d4c5 g7g6 e2e3 f8g7 c2c3 e8h8 b1d2 b8d7,-41
2b1k3/pr5R/1p2pr2/5p2/2pP4/2P5/PP3PB1/R5K1 w - -,g2b7 f6g6 g1f1 c8d7 f1e2 e8d8 a2a4 d8c7 b7a6 c7d6,994
rnbqkb1r/1p3ppp/p2p1n2/4p3/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,f1e2 e5d4 d1d4 f8e7 e1a1 e8h8 d4b6 b8c6 a2a3 d8b6,-320
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N2N1P/PP3PP1/R1BQKB1R w KQ -,f1d3 c7c6 e1h1 f6h5 f1e1 b8d7 c1g5 d8c7 d3f1 d7c5,-7
rnbqk2r/ppp1ppbp/5np1/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,e4e5 f6e4 h2h4 h7h5 c3e4 d5e4 f3g5 c7c5 c2c3 e8h8,40
5rk1/p2p1p1p/2p3p1/3pr3/8/1PN3P1/P4PBP/R4K2 w - -,,0
r1bqk2r/pp2bppp/2nppn2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R w KQkq -,e1a1 c6d4 d2d4 a7a6 f2f4 e8h8 f1e2 b7b5 e4e5 d6e5,78
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2KQ1PP/RN3r2 w - -,a2a3 f1f2 b1c3 b6e3 d2c2 f8c8 a1e1 f2e2 d3e2 e3b6,-1065
rn1qkb1r/ppp2ppp/4pn2/5bN1/8/2Np1Q2/PPP2PPP/R1B1KB1R w KQkq -,g2g4 f5g4 f3b7 b8d7 f1d3 a8b8 b7g2 d7e5 e1h1 h7h6,-395
r1bqkbnr/1p1ppppp/p1n5/1Bp5/4P3/2N5/PPPP1PPP/R1BQK1NR w KQkq -,b5d3 e7e6 g1f3 g8f6 e1h1 d7d5 e4d5 e6d5 f1e1 f8e7,-73
rn1qkb1r/ppp1pppp/5n2/5bN1/4p3/2N5/PPPP1PPP/R1BQKB1R w KQkq -,f1b5 c7c6 b5c4 e7e6 d1e2 f5g4 e2f1 d8d4 d2d3 e4d3,-176
5k1r/p4p2/3N3p/3pP3/8/4BPb1/1r4P1/2R3K1 w - -,d6f5 f8e8 f5g3 e8d8 e5e6 h8g8 e3d4 b2b8 d4e5 d8e7,498
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,f2f3 d5e4 b1c3 f8b4 a2a3 b4c3 b2c3 c7c5 c1e3 c8d7,-99
r1br2k1/p2qppbp/6p1/nppP4/4PB2/2PB4/P3NPPP/2RQ1RK1 w - -,f4g5 h7h6 g5e3 e7e6 e3c5 d7c7 c5d4 e6d5 e4d5 c8b7,53
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,g1f3 c7c5 f1e2 f8d6 d4c5 d6f4 e3f4 e8h8 b1d2 d8c7,30
r1b5/4kq2/p1Bbp1Qp/6p1/8/4B1P1/PPP4P/6K1 w - -,g6h6 c8d7 e3g5 e7e8 h6h8 d6f8 c6a8 d7b5 a8g2 f7a7,778
r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,g1f3 e7e5 f1c4 f8e7 d2d3 g8f6 f3d2 d7d6 d2f1 c8g4,41
rnbqk2r/ppp2ppp/3bpn2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq -,d1f3 e8h8 g2g4 c7c5 f4d6 d8d6 e1a1 c5c4 g4g5 f6e8,21
r1b1k1nr/pp1pppbp/1qn3p1/8/2PNP3/4B3/PP3PPP/RN1QKB1R w KQkq -,f1e2 g7d4 e3d4 c6d4 b1c3 g8f6 e4e5 b6b2 d1c1 b2c1,-641
rnbqk2r/ppp1ppbp/6p1/3n4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3e4 c8f5 e4g3 f5g4 f1e2 c7c6 e1h1 e8h8 c1g5 h7h6,44
rnbqkb1r/ppp2ppp/4p3/3n4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1e2 c7c5 c2c4 d5f6 b1c3 c5d4 d1d4 f8e7 c1f4 b8c6,90
rnbq1rk1/ppppppbp/5np1/8/2PP4/6P1/PP2PPBP/RNBQK1NR w KQ -,b1c3 b8c6 h2h3 d7d6 g1f3 e7e5 d4d5 c6a5 b2b3 a7a6,59
8/5ppp/8/5PPP/8/k7/8/K7 w - -,h2h4 c7c6 b1c3 d7d5 c4d5 c6d5 c1g5 f6e4 e2e3 b8c6,Mate
