8/7k/5K2/8/6B1/6N1/8/8 b - -,h7h8 g3e4 h8h7 e4g5 h7g8 g4f3 g8f8 f3d5 f8e8 d5b3
rn1q1rk1/ppp1bppp/3p1n2/4p2b/2B1P3/2NPBN1P/PPP2PP1/R2Q1RK1 b - -,c7c6 c4b3 a7a5 a2a3 b7b5 g2g4 h5g6 f3h4 b8a6 h4g6
r1bqk2r/pp1nppbp/2pp1np1/8/2PP4/2N2NP1/PPQ1PPBP/R1B1K2R b KQkq -,e7e5 e1h1 e8h8 e2e4 e5d4 f3d4 f6g4 f1d1 d8b6 c3e2
r4nk1/ppb2ppp/2pq1p2/7b/3P4/2P1rNPP/PP2BP2/R2QR1K1 b - -,a8e8 d1d2 e3e4 e2d1 f6f5 e1e4 f5e4 d2e1 f8d7 f3e5
4rnk1/ppb2ppp/2pq1p2/7b/3P4/2P1rNPP/PP1QBP2/R3R1K1 b - -,e3e4 e2d1 f6f5 e1f1 h7h6 f3e5 e4e5 d1h5 e5e6 c3c4
r2qkbnr/ppp1ppp1/2n3b1/3pP2p/3P2PP/5P2/PPP1N3/RNBQKB1R b KQkq -,h5g4 e2f4 g6h7 f3g4 e7e6 h4h5 f8e7 f1b5 a7a6 b5c6
r6k/p6p/5R2/7p/8/7K/P6P/8 b - -,a8c8 f6a6 h8g7 h3h4 c8c2 h2h3 c2c3 a2a4 c3a3 a6a7
8/3k2p1/2p5/5K2/3P4/8/6P1/8 b - -,c6c5 d4c5 d7c6 f5g6 c6c5 g6g7 c5d6 g7f6 d6d7 f6f7
4rnk1/ppb2ppp/2pq1p2/7b/3Pr3/2P2NPP/PP1Q1P2/R2BR1K1 b - -,f6f5 e1f1 h5g6 f3g5 e4e7 f2f4 c6c5 h3h4 c5d4 h4h5
rn2kbnr/1p2pppp/1p6/3p1bB1/3P4/2N5/PP2PPPP/R3KBNR b KQkq -,g8f6 g5f6 g7f6 c3d5 a8a5 d5c3 e7e5 d4e5 f6e5 e2e4
8/6p1/2pk2K1/8/3P4/8/6P1/8 b - -,
8/6K1/2p5/3k4/3P4/8/6P1/8 b - -,
r1b2rk1/2qnbppp/pp1ppn2/8/2PNPP2/2NBB3/PP2Q1PP/R4R1K b - -,d7c5 d3c2 c8b7 e3g1 c5d7 a1e1 a8c8 c2d3 d7c5 d3b1
4r1k1/pp4p1/2pp4/2b4p/2P1NP2/3PPR1q/PP1Q4/4R1K1 b - -,h3e6 g1h1 d6d5 e4c5 e6e7 f3g3 b7b6 d2g2 b6c5 e1g1
4rnk1/ppb2ppp/2pq4/5p1b/3PR3/2P2NPP/PP1Q1P2/R2B2K1 b - -,f5e4 d2e3 f8d7 f3e5 h5d1 e5d7 d6d7 a1d1 d7h3 c3c4
4rnk1/ppb2ppp/2pq4/7b/3Pp3/2P1QNPP/PP3P2/R2B2K1 b - -,h7h6 c3c4 d6d7 f3h4 h5d1 a1d1 d7h3 d4d5 h3g4 d1e1
r1bqk2r/pp1Bbppp/4pn2/2ppN3/3P4/2P1P3/PP3PPP/RNBQK2R b KQkq -,f6d7 e5d7 c8d7 b2b3 e8h8 e1h1 d8c7 c1a3 b7b6 b1d2
rnbqk2r/pppp3p/5pN1/2b1p2Q/2B5/2P5/PPP2PPP/R1B1K2R b KQkq -,d8e7 g6e7 e8d8 e7g8 c7c6 h5f7 h8g8 f7g8 d8c7 g8h7
r2qr2k/p2n3p/2b2P1B/4p2p/2B5/8/P5PP/Q4R1K b - -,e8g8 c4g8 d7f6 g8e6 c6b5 f1f5 b5d3 f5e5 a8b8 e6b3
8/8/5K2/8/8/8/5p2/1Q2k3 b - -,
8/8/5K2/8/8/8/2Q1kp2/8 b - -,
