4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2
4q1k1/pp1n1p2/2r2PrQ/3pP1R1/2pP2P1/2P4P/P7/5RK1 b - -,
r1b2rk1/p1pn2bp/1p1p2p1/2PP1p2/1P2p2q/1N2P2P/P3BPPB/2RQ1RK1 b - -,d7e5 b3d4 c8d7 d4e6 d7e6 d5e6 h4e7 c5d6 c7d6 d1d5
r1b2rk1/3nqpbp/p5p1/1p1Pp1Pn/8/2N1BN1P/PPPQ2B1/2KR3R b - -,a8b8 h1e1 b5b4 c3e4 a6a5 c1b1 a5a4 f3h2 b4b3 h2g4
r1bqkbnr/pp1B1ppp/8/4p3/3QP3/8/PPP2PPP/RNB1K2R b KQkq -,c8d7 d4e5 d8e7 e5e7 g8e7 b1c3 e7c6 c3d5 e8a8 c1e3
r1bq1rk1/pp2nppp/2nbp3/6B1/2BP4/2N2N2/PP2QPPP/R4RK1 b - -,d6b4 a1d1 b4c3 b2c3 h7h6 g5d2 a7a6 c4d3 b7b5 f1e1
8/4p1k1/3p4/p1rPprp1/2P5/P5P1/5PK1/2R1R3 b - -,f5f7 c1c3 f7f8 a3a4 g7g6 e1b1 g5g4 b1b5 f8c8 b5c5
r1bqk1nr/5ppp/p1pbp3/2ppP3/8/2NP1N2/PPPB1PPP/R2QK2R b KQkq -,d6f8 c3a4 g8e7 a4c5 e7f5 b2b4 a6a5 a2a3 f8c5 b4c5
1R6/5pk1/2p3p1/7p/1P1P4/1N1n1K2/6PP/4r3 b - -,e1b1 b3a5 d3b4 b8b6 b1a1 a5c6 a1a3 f3e2 b4c6 b6c6
rnbqk1nr/1p1p1pp1/p3p3/8/1b1NP2p/P1N3P1/1PP2PBP/R1BQK2R b KQkq -,b4c3 b2c3 h4h3 g2f3 d7d6 a3a4 d8c7 e1h1 b8d7 c1a3
6k1/2N2pp1/P1N4p/3P4/P7/4n2P/3rr1P1/6RK b - -,
2r2k2/p4ppp/8/2bR4/8/1P2BP2/P4KPP/8 b - -,c5b4 e3d2 c8c2 f2e1 b4a3 d5d7 a7a5 d7d5 a3b4 d2b4
r4knr/1bN1npbp/1Bq1p1p1/4P3/2p2P2/P4N2/1P3QPP/3R1RK1 b - -,g7h6 c7a8 b7a8 d1d8 f8g7 f3d4 c6e4 b6c5 a8b7 d4b5
2kr1b1r/p1p1qQ1p/2b3p1/3np1N1/8/3P4/PPP2PPP/RNB1K2R b KQ -,d5b4 b1a3 c6g2 h1g1 g2d5 f7e7 f8e7 c1e3 h8e8 g5e4
r1b1r1k1/p3qp1p/1pn1p1p1/3p4/3PP3/P1PB1N2/2Q2PPP/R3R1K1 b - -,c8b7 e4d5 c6a5 d5e6 b7f3 e6f7 e7f7 g2f3 f7f3 d3e4
r2qkbnr/pp1b1ppp/8/4Q3/4P3/8/PPP2PPP/RNB1K2R b KQkq -,d8e7 e5d4 e7b4 c2c3 b4d4 c3d4 f7f5 f2f3 g8f6 b1c3
rnbqk1nr/1p1p1pp1/p3p3/8/3NP2p/P1P3P1/2P2PBP/R1BQK2R b KQkq -,h4h3 g2f3 d7d6 a3a4 g8f6 c1a3 e8h8 e1h1 e6e5 d4b3
r2q1rk1/4ppbp/b1np1np1/p4P2/1pP1P1PQ/5N1P/PPP3B1/RNB2RK1 b - -,a6c4 f1e1 d6d5 b1d2 d5e4 f3g5 h7h6 g5e4 c4d5 c2c4
4k3/8/8/3K4/8/8/4R3/1r6 b - -,
