1b3rk1/p6p/4R1nr/3P1p1N/P4pPq/2Q4P/1P3PB1/6RK b - -,h4e7 e6e7 b8e5 e7e5 h6h5 g4h5 a7a6 h5g6 f4f3 g6h7
rnbqkbnr/pp3ppp/4p3/2PpP3/8/1P6/PBP2PPP/RN1QKBNR b KQkq -,b8d7 b3b4 g8e7 g1f3 b7b6 c5b6 d8b6 a2a3 a7a5 b2d4
8/pr6/8/3p1pk1/1P1K2p1/P5P1/4R2P/8 b - -,b7c7 d4d5 c7c3 e2a2 c3b3 d5c6 a7a6 c6b6 a6a5 b4b5
2rq1rk1/1b2bppp/ppn5/3P4/8/3B1N2/PB2QPPP/3RR1K1 b - -,c6b8 e2e4 g7g6 e4e5 f7f6 e5e6 g8h8 e6e7 d8e7 e1e7
rnbqk1nr/pp1p1pbp/6p1/4p3/3P4/5NP1/PP2PPBP/RNBQK2R b KQkq -,e5e4 f3d2 d7d5 f2f3 f7f5 d2b3 g8f6 e1h1 e8h8 b1c3
r1bqkb1r/p1p1nppp/1p1p1n2/3Pp3/2P1P3/2N1BN2/PP3PPP/R2QKB1R b KQkq -,h7h6 h2h3 e7g6 g2g3 f8e7 f3h2 a7a6 h3h4 c8d7 a2a4
r1bq1rk1/p2nppbp/1pnp2p1/8/1PP1PP2/2N5/P1NBB1PP/1R1Q1RK1 b - -,c8b7 d2e1 a7a6 g1h1 a8c8 d1d3 e7e5 f4f5 c6d4 c2e3
r1bqk2r/pppp1pp1/2n2n1p/4P3/1bB2B2/2NP4/PPP3PP/R2QK1NR b KQkq -,d7d5 e5f6 d8f6 c4d5 f6f4 g1f3 e8h8 d5c6 b7c6 e1h1
8/4kp2/2KN3p/p5pN/P5P1/7P/1n6/8 b - -,e7d8 c6b5 d8d7 d6f5 b2d1 b5a5 d7c6 f5h6 f7f6 h5f6
6k1/6n1/8/7p/4q1pP/6P1/5NR1/6QK b - -,e4e5 g1c1 g8f7 c1c4 e5e6 c4c7 e6e7 c7e7 f7e7 f2d3
r1bqkb1r/1ppnpp1p/p2p1np1/8/2BPP3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,e7e6 e4e5 b7b5 c4d3 b5b4 c3e4 f6e4 d3e4 d6d5 e4d3
4r1k1/1p3pp1/2pR4/8/7P/5BP1/1P3PK1/8 b - -,e8e7 h4h5 g8h8 f3g4 h8g8 d6d7 g8f8 d7d8 e7e8 d8e8
rn1q1rk1/pb3ppp/1p1ppn2/2p5/2PP4/P1QBPN2/1P3PPP/R1B2RK1 b - -,d8c7 d3e2 b8d7 b2b3 d6d5 c1b2 a8c8 f1c1 d5c4 b3c4
r1bqkb1r/1p3ppp/p1nppB2/2p5/2B1P3/3P1N2/PPP2PPP/RN1Q1RK1 b kq -,d8c7 f6c3 b7b5 c4b3 c8b7 c3d2 f8e7 a2a4 b5b4 c2c3
rnb1kb1r/pp2pppp/1qp5/8/2B1Q3/5N2/PPPP1PPP/R1B1K2R b KQkq -,b6d8 e1h1 e7e6 d2d4 b8d7 f1e1 d7f6 e4h4 f6d5 h4g4
rnbqkb1r/pp3ppp/4pn2/8/Q1pN4/2N3P1/PP2PP1P/R1B1KB1R b KQkq -,c8d7 a4c4 d8b6 f1g2 f8c5 c3a4 c5b4 c1d2 b4d2 e1d2
r1bq1rk1/pp2nppp/3bpn2/2pp4/3P1P2/2PBP2N/PP1N2PP/R1BQ1R1K b - -,b7b6 g2g4 c8b7 h3f2 c5d4 c3d4 a7a5 g4g5 f6e8 d2f3
8/5Q2/8/4r3/2k5/8/3K4/8 b - -,c4c5 d2c3 e5e3 c3c2 e3e5 f7c7 c5d5 c2d3 e5e6 c7f7
r2q1rk1/pp1bnppp/3bpn2/2pp4/3P1P2/2PBPN1N/PP4PP/R1BQ1R1K b - -,a7a6 f1g1 f6e4 d3e4 d5e4 f3g5 e7f5 g5e4 d7c6 e4g5
8/8/8/4r3/3k4/8/3K1Q2/8 b - -,d4e4 f2h4 e4f5 d2d3 f5e6 h4h6 e6f5 h6h3 f5f6 d3d4
r2b1rk1/pppq3p/2np2p1/3Npp2/2P5/1Q1PP1P1/PP1B1PKP/R4R2 b - -,h7h5 b3b7 a8b8 b7a6 b8b2 d2c3 b2e2 f1e1 e2e1 a1e1
8/8/8/3r4/3k4/3Q4/2K5/8 b - -,d4e5 d3e3 e5d6 e3e8 d5f5 c2d3 f5f6 e8d8 d6e5 d8a5
r1bqk2r/ppp1bpp1/2np1n1p/4p3/2PP3B/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e5d4 f3d4 c6d4 d1d4 c8e6 f1e2 e8h8 e1h1 c7c6 f1d1
8/4kp2/7p/N2K2pN/4n1P1/7P/8/8 b - -,e4d2 a5c6 e7f8 c6d4 d2b1 d4f5 b1c3 d5d4 c3e2 d4d3
r2qkb1r/pppbpppp/2n2n2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,f6h5 f4e5 f7f6 c2c4 e7e6 c4d5 e6d5 e5g3 h5g3 h2g3
rn1qk2r/1p2n1pp/p1pb1p2/3p1b2/3P3B/1QN1PN2/PP3PPP/R3KB1R b KQkq -,d8c7 h4g3 d6g3 h2g3 b8d7 a2a4 a6a5 f3h4 c7b6 b3b6
r1b2r2/ppq3p1/2n3k1/2bp4/4N3/8/PPQ2PPP/RNB2RK1 b - -,c6d4 c2d2 d5e4 d2g5 g6h7 c1e3 d4e2 g1h1 c5e3 g5e3
8/4kp2/2N4p/3K2pN/6P1/7P/5n2/8 b - -,e7e8 d5d4 e8d7 d4e3 f2d1 e3d2 d1f2 d2e2 f2e4 e2e3
r2qk2r/1Q1nn1pp/p1pb1p2/3p1b2/3P3B/2N1PN2/PP3PPP/R3KB1R b KQkq -,d7b6 f3e5 d6e5 d4e5 f5c8 b7a8 b6a8 e5f6 g7f6 h4f6
rn1qkbnr/1b1ppppp/p7/1pp5/4PP2/2NP4/PPPQ2PP/R1B1KBNR b KQkq -,e7e6 g1f3 d8c7 g2g3 d7d5 f1g2 b5b4 c3d1 d5e4 d3e4
rnbqk1nr/pp2ppbp/6p1/1B1p2B1/3PP3/8/PP3PPP/RN1QK1NR b KQkq -,c8d7 b5d7 d8d7 e4e5 b8c6 b1c3 a8d8 h2h3 f7f6 e5f6
8/8/8/8/8/3k4/7R/3K4 b - -,c8d7 b5d7 d8d7 e4e5 b8c6 b1c3 a8d8 h2h3 f7f6 e5f6
rn1qk1nr/pp1Bppbp/6p1/3p2B1/3PP3/8/PP3PPP/RN1QK1NR b KQkq -,d8d7 e4e5 b8c6 b1c3 f7f6 e5f6 e7f6 g5f4 g8e7 g1e2
r1bqkbnr/p1p1pppp/1pnp4/8/2PP4/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,g7g6 f1g2 c8d7 g1f3 g8f6 e1h1 f8g7 c1f4 d8c8 d1d2
r2qkb1r/ppp1pppp/2n2nb1/1B1p4/3P2P1/P3PN1P/1PP2P2/RNBQK2R b KQkq -,
r2q1rk1/pb3ppp/1pnbpn2/2ppN3/3P1P2/PP1BP3/1BP3PP/RN1Q1RK1 b - -,c6e7 e5g4 f6d7 b1d2 e7f5 d1f3 c5d4 e3d4 d7f6 g4f6
r1bqk2r/pppp1ppp/5n2/2b1N1B1/2Bp4/8/PPP2PPP/RN1QK2R b KQkq -,d7d5 c4d3 h7h6 g5f6 d8f6 e1h1 c8e6 f2f4 e8a8 b1d2
5k2/5p2/2N4p/6pN/6P1/4K2n/8/8 b - -,f8e8 c6d4 e8d7 d4f5 d7e6 e3f3 e6e5 f5h6 f7f6 f3g2
8/4kp2/2K4p/p5pN/n1N3P1/7P/8/8 b - -,f7f6 c4a5 a4c3 a5b7 c3d1 b7c5 d1f2 c6d5 f2h3 d5e4
r1b2rk1/pp1n1pbp/5np1/q2p4/3BP3/1P3P1P/P2NB1PN/R2Q1RK1 b - -,a5b4 d4f2 d5e4 f3e4 d7e5 a2a3 b4d6 d1e1 c8e6 b3b4
k7/1P6/P1K2n2/5p1p/5P1P/6P1/8/8 b - -,a8a7 c6d6 a7b8 d6e6 f6e8 e6f5 e8c7 f5g6 c7a6 g6h5
8/r7/8/P1Kp1pk1/6p1/P5P1/4R2P/8 b - -,d5d4 c5b6 d4d3 e2d2 a7e7 d2d3 e7e6 b6b7 e6e7 b7c6
4rbk1/ppq2npp/2p1rp2/3P4/2P3P1/1PN1R2P/PBQ2P2/4R2K b - -,f7g5 d5e6 f8c5 c3e4 c5e3 e1e3 g5e6 c4c5 e8e7 b2f6
4R3/8/1K2k1P1/1P6/8/8/8/1r2q3 b - -,e6d6 e8e1 b1e1 b6a6 e1a1 a6b6 a1g1 b6a7 g1g6 b5b6
4rbk1/ppq2npp/2p2p2/3P4/2P3P1/1PN1R2P/PBQ2P2/7K b - -,e8e3 f2e3 c7g3 c2g2 g3e3 d5c6 b7c6 c3e2 f8c5 b2c1
r3qrk1/pp2nppp/2bbpn2/2ppN3/P2P1P2/2PBP2N/1P4PP/R1BQ1R1K b - -,f6e4 b2b3 f7f6 e5c6 e8c6 c3c4 a8d8 h3f2 c5d4 e3d4
r1b1k2r/ppppnppp/1b6/8/2BPP3/1P3N2/5PPP/RN3RK1 b kq -,a7a6 b1c3 d7d6 b3b4 c8g4 f1d1 e8h8 c4e2 g4d7 g2g3
r3qrk1/1p2nppp/p1bbpn2/2ppN3/P2P1P2/1PPBP2N/6PP/R1BQ1R1K b - -,b7b5 h3f2 f6e4 c1a3 e7f5 d1c1 b5a4 b3a4 f7f6 e5c6
r1bqkb1r/ppp2ppp/2N5/3p4/2BP4/8/PPP3PP/RNBnR1K1 b kq -,d8e7 c6e7 f8e7 c4d5 c8g4 b1d2 a8d8 d5f3 d8d4 f3g4
rnbqk2r/bp1pnppp/p3p3/8/4P3/1N1B4/PPP2PPP/RNBQ1R1K b kq -,d8c7 f2f4 b8c6 f4f5 d7d5 c1f4 c7d8 d1g4 e6f5 e4f5
q4rk1/4nppp/2bbpn2/1pPpN3/5P2/1PPBP2N/6PP/2BQ1R1K b - -,e7f5 c5d6 c6b7 e5f3 f5d6 f3d4 f6e4 h3f2 f8c8 f2e4
2rq1rk1/pb1nppbp/1p1p1np1/8/1PP1PP2/2NBN2R/P5PP/1R1QB1K1 b - -,b6b5 c4b5 f6h5 c3e2 h5f6 e2g3 e7e5 f4f5 d6d5 e4d5
r1bq1r1k/pppnn1bp/3p2p1/3PppP1/2P1P3/2N2P2/PP2B2P/R1BQNRK1 b - -,f5f4 h2h4 h8g8 g1f2 h7h6 c1d2 h6g5 h4g5 g8f7 f1h1
