1r3rk1/Q1R2npp/3p3q/3Ppb2/4N3/6P1/PP2PPB1/2R3K1 b - -,b8b4 c7c4 b4b2 g2f3 f5e4 f3e4 b2e2 e4d3 e2b2 c4c8,39
2k5/bpp2p2/p1p1R2p/8/5P2/2P5/PPKN1r1P/R7 b - -,f7e6 a1e1 c8d7 e1e5 f2h2 c2d3 b7b5 f4f5 h2h3 d3e2,-223
5k2/pp1q1p1p/5bpP/2p4r/5P2/2N1P3/3P2Q1/2R2K2 b - -,b7b6 f1e2 h5h6 c3d5 f8g7 c1f1 h6h5 e3e4 d7b5 e2e1,-411
r1bqk2r/ppppp1bp/2n2np1/5pB1/3P4/2N1Q3/PPP1PPPP/R3KBNR b KQkq -,f6g4 e3d2 h7h6 g5h4 g7d4 e2e3 d4g7 f2f4 d7d6 g1f3,-55
r1b1kb1r/pp2pppp/2nq1n2/2p5/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,c5d4 f1b5 a7a6 b5c6 d6c6 e1h1 d4c3 b1c3 c8g4 f3e5,-64
8/8/7q/3p4/2p5/5N2/4RK2/7k b - -,h6b6 f2f1 b6b8 f1f2 b8a7 f2e1 a7a5 e1f1 a5a1 f1f2,Mate
r4nk1/4qrb1/2p1b1pp/1pPpPp2/p2P1N2/5BQ1/PP1B2PP/R4RK1 b - -,g6g5 f4e6 f8e6 f3h5 e6d4 g3d3 d4e6 h5f7 e7f7 f1f5,68
1r4k1/1q1Rb1pp/8/2p1p3/r6P/6P1/2P1QP2/3R2K1 b - -,b7b2 d7e7 a4d4 d1d4 b2d4 e2e5 d4e5 e7e5 b8c8 c2c4,348
1k1r1b1r/ppp2ppp/2n5/8/6B1/8/P1qBQPPP/R2R2K1 b - -,c6d4 e2e3 f8c5 a1c1 c2g6 h2h3 c5b6 e3e7 h8e8 e7h4,-299
4r1k1/pppq2pp/2n1rp2/3p4/3PnQN1/2B1R2P/PPP2PP1/3R2K1 b - -,h7h5 g4h2 e4f2 e3e6 f2d1 e6e8 d7e8 h2f1 e8e2 f1g3,-190
r3r1k1/1R4p1/1R2bpq1/p6p/P3Pp2/3B1P1P/2P2QP1/5K2 b - -,e6f7 b7c7 a8b8 b6b5 g6g3 f2g3 f4g3 f1e2 b8a8 b5b7,320
5rk1/pp3pbp/6p1/4p3/2Ppp3/1P5P/r3BPP1/3RR1K1 b - -,d4d3 e2d3 e4d3 d1d3 b7b6 b3b4 f8c8 c4c5 g7f8 c5b6,-540
r2qr1k1/pppb1ppp/2np4/7n/4P3/2N1QP2/PPP1N1PP/2KR1B1R b - -,h5f6 g2g4 d7e6 h2h4 f6d7 e2f4 d7b6 g4g5 d8e7 e3g1,138
3q4/Q1Rb4/5kpp/pr2p3/8/2BP4/PPP3PP/6K1 b - -,g6g5 c7d7 d8b6 a7b6 b5b6 g2g4 f6g6 d7e7 a5a4 e7a7,665
r4nk1/4qrb1/2p1N2p/1pPpPpp1/p2P4/5BQ1/PP1B2PP/R4RK1 b - -,f8e6 f3h5 e6d4 g3d3 d4e6 h5f7 e7f7 f1f5 e6c5 d3h3,56
8/5p2/2R1b1k1/3r4/3P1KPp/2B5/8/8 b - -,d5g5 f4f3 g6h7 c3d2 g5g6 c6c7 g6g8 d2f4 h4h3 g4g5,-40
rr4k1/pp1n1ppp/4p3/4Pb2/2Pp1B2/1P3B2/1P3PPP/R2R2K1 b - -,d7c5 a1a3 c5d3 g2g4 f5g6 f4g3 a7a5 h2h4 h7h5 g4h5,24
r1bqkb1r/pppp2pp/2n5/1B2Np2/3Pn3/8/PPP2PPP/RNBQ1RK1 b kq -,d8h4 e5f3 h4h5 c1f4 a7a6 b5e2 d7d5 f4c7 c8e6 c7f4,152
r4rk1/1p2bppp/p1bp4/4p3/P1q1PPn1/1QN3P1/1PP2BBP/R4RK1 b - -,c4b3 c2b3 g4f2 f1f2 e7d8 g1h1 d8b6 f2c2 e5f4 g3f4,-49
r7/6p1/2N2p1p/1pn1k3/3p4/p6P/5PP1/R2R2K1 b - -,e5f5 c6d4 f5g6 d4b5 a3a2 b5c3 a8a3 c3a2 c5b3 a1b1,552
3rn1k1/pp3p1p/3q2p1/3N4/3Q4/1P6/1P3PPP/3R2K1 b - -,d8a8 h2h4 f7f6 d1e1 g8f8 d4c4 b7b5 c4b5 a8d8 d5e3,143
r1bqr1k1/pppp1ppp/2n5/8/2P5/2Q1PN2/PP3PPP/R3KB1R b KQ -,b7b6 f1e2 d7d6 e1h1 c8b7 a1e1 g7g6 e1d1 d8e7 a2a3,-12
8/8/2rk4/5K2/8/1Q6/8/8 b - -,c6c5 f5f4 d6c6 f4e4 c5b5 b3e6 c6c5 e4d3 b5b4 e6f7,242
r1bqk2r/1p2bpp1/p1p1pn2/2p4p/4PP2/2NP1N1P/PPP3P1/R1BQ1RK1 b kq -,b7b5 d1e2 a6a5 c1e3 a5a4 a2a3 d8c7 f3g5 c5c4 d3c4,164
r1bqk2r/ppp2ppp/2n2n2/2Ppp3/8/P1P1PN2/1P3PPP/R1BQKB1R b KQkq -,e8h8 b2b4 e5e4 f3d4 c6e5 h2h3 f6d7 c1b2 e5c4 f1c4,-77
r2qkbnr/ppp2ppp/2n5/4p3/2B3b1/1Q2PN2/PP1P1PPP/RNB2RK1 b kq -,,0
6k1/8/5K1R/5B2/8/4r3/8/8 b - -,d8d7 f3g5 g8h6 b3b7 a8b8 b7a6 f8e7 f2f3 g4f5 g5e4,Mate
8/8/1q6/3p4/2p5/5N2/4R3/5K1k b - -,b6h6 f1f2 h6b6 f2f1 b6b8 e2e1 b8b2 e1e2 b2b8,Mate
rn2k2r/pbp1qp2/1p1pp2p/6p1/2PPP3/2PB2P1/PKQ2PP1/3R2NR b kq -,b8d7 g3g4 d7f6 f2f3 e8a8 c2d2 h6h5 d2g5 h8g8 g5h4,-17
2k5/bpp5/p1p1p2p/8/5P2/2P5/PPKN1r1P/4R3 b - -,c8d7 e1e5 f2h2 c2d3 b7b5 f4f5 h2h3 d3e2 e6f5 e5f5,-219
r4rk1/1p2bppp/p1bp4/4p3/P3PPn1/1PN3P1/1P3BBP/R4RK1 b - -,g4f2 f1f2 e7d8 g1h1 d8b6 f2c2 e5f4 g3f4 g7g6 a1e1,-48
r1bqkb1r/pppp2pp/8/1B2Pp2/4n3/8/PPP2PPP/RNBQ1RK1 b kq -,f8c5 b1d2 c7c6 b5d3 e8h8 d2e4 f5e4 d3e4 d8h4 d1e2,107
