8/3B4/8/8/1NK5/8/1k6/8 b - -,b2a3 d7e6 a3b2 e6g4 b2b1 c4b3 b1a1 g4d7 a1b1 d7f5
rnbqkbnr/2pppppp/pp6/8/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,b8c6 d2d4 b6b5 d4d5 b5c4 d5c6 e7e5 g1f3 d7d6 d1e2
rn1qkb1r/pp2pppp/8/3p4/6b1/1Q6/PP1PPPBP/R1B1K1NR b KQkq -,d8d7 g2d5 g4e6 d5e6 f7e6 g1f3 b8c6 d2d3 g7g6 c1d2
8/8/8/1Qk5/2B2K2/8/8/8 b - -,d8d7 g2d5 g4e6 d5e6 f7e6 g1f3 b8c6 d2d3 g7g6 c1d2
rn1qkb1r/pp2pppp/2p5/3N4/6b1/8/PP1PPPBP/R1BQK1NR b KQkq -,e7e5 d5c3 b8d7 g1f3 g4f3 g2f3 f7f5 d2d3 d8h4 d1b3
r2qkb1r/pp1npppp/2p2n2/3p1b2/8/1P1P2P1/PBPNPPBP/R2QK1NR b KQkq -,f5g4 g1f3 e7e6 e2e4 g4h5 e1h1 f8e7 d1e1 a7a5 e4e5
rnbq1rk1/ppp2pbp/3ppnp1/8/2PPP3/2N1BP2/PP2N1PP/R2QKB1R b KQ -,h7h5 d1d2 a7a6 e2c1 b8c6 c1b3 a6a5 a2a4 b7b6 f1e2
rnbqk1nr/pp3ppp/2pp4/2b1p3/2B1P3/2NPB3/PPP2PPP/R2QK1NR b KQkq -,c5e3 f2e3 d8h4 e1d2 h4e7 a2a4 g8f6 g1f3 e8h8 d1e1
r1bqkbnr/pp1p1ppp/2n1p3/8/4P3/1P2Q3/P1P2PPP/RNB1KBNR b KQkq -,g8f6 b1c3 d7d5 e4d5 f6d5 c3d5 d8d5 c2c3 c6b4 e3e2
8/8/8/8/1k6/3QK3/8/8 b - -,d7d5 e4d5 c6b4 e3d2 d8d5 b1c3 d5d2 e1d2 g8f6 a2a3
7r/pp2kpb1/2p1p1pp/2n1P3/2B4P/5N2/PPP2PP1/3R2K1 b - -,h8d8 d1e1 c5a4 c4f1 d8d7 e1b1 e7d8 a2a3 d8c7 b2b4
r1bq1rk1/pp1n1ppp/3b1n2/3P4/3pN3/3B1N2/PP3PPP/R1BQ1RK1 b - -,d8c7 f1e1 f6e4 e1e4 d7e5 e4h4 g7g6 f3d4 d6c5 d4b3
r2qkbnr/pbpppppp/1pn5/8/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR b KQkq -,a7a5 d2d4 e7e5 d4d5 c6d4 g1f3 d4f3 d1f3 f8b4 f1e2
8/4k2B/7P/8/5K2/8/8/8 b - -,a7a5 d2d4 e7e5 d4d5 c6d4 g1f3 d4f3 d1f3 f8b4 f1e2
r2qkb1r/ppp1pppp/2n2n2/3p4/3P1Bb1/P3PP2/1PP3PP/RN1QKBNR b KQkq -,g4e6 d1d2 f6h5 f4g5 f7f6 g5h4 g7g5 h4f2 d8d6 b1c3
r1bqkb1r/ppp3pp/2Bp1n2/4pP2/8/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,e8e7 c6a4 c7c6 a4b3 c8f5 e1h1 e7d7 d2d4 e5e4 f3h4
rn1qkbnr/1bpp1ppp/p3p3/1p6/2PPP3/3B1N2/PP3PPP/RNBQK2R b KQkq -,b8c6 a2a3 b5c4 d3c4 c6a7 b1d2 g8f6 c4d3 d7d5 e4e5
rnbqkb1r/pp3ppp/4p3/2ppP3/3Pn3/2PB4/PP1N1PPP/R1BQK1NR b KQkq -,b8c6 d2e4 d5e4 d3e4 c5d4 c3d4 c6d4 g1e2 d4c6 d1d8
rnbqkbnr/pp2pppp/8/2P5/3pP3/8/PPP1NPPP/R1BQKBNR b KQkq -,e7e6 d1d4 d8d4 e2d4 f8c5 g1f3 c8d7 c1e3 g8f6 d4e6
8/8/8/2K5/8/6k1/8/5Q2 b - -,e7e6 d1d4 d8d4 e2d4 f8c5 g1f3 c8d7 c1e3 g8f6 d4e6
rnb1kb1r/pp1p1ppp/1q2p3/2pnP3/3P4/2P2N2/PP1N1PPP/R1BQKB1R b KQkq -,b8c6 c3c4 d5f4 d4d5 c6d4 d5d6 f4g6 f1d3 g6f4 d3e4
r1bqk1nr/pppp2pp/2n2p2/1Bb1p3/3PP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,c5e7 e1h1 d7d6 d4d5 a7a6 b5a4 b7b5 a4c2 c6a5 a2a4
r1bqkb1r/ppp2ppp/2np1n2/4P3/3P1B2/2N5/PPP3PP/R2QKBNR b KQkq -,f6g8 f1b5 d6d5 g1f3 g8e7 e1h1 a7a6 b5a4 e7g6 f4g5
r2qkbnr/pppb1ppp/2np4/1B2p3/Q3P3/2P2N2/PP1P1PPP/RNB1K2R b KQkq -,a7a6 b5e2 g7g5 h2h3 h7h5 a4c2 f8h6 d2d4 g5g4 d4d5
r2qkbnr/1ppb1ppp/p1Bp4/4p3/Q3P3/2P2N2/PP1P1PPP/RNB1K2R b KQkq -,f7f5 c6d7 d8d7 a4d7 e8d7 e4f5 e5e4 f3d4 c7c5 d4e2
rnbqkb1r/ppp3pp/3p1n2/3Pp3/4P3/2N5/PPP3PP/R1BQKBNR b KQkq -,a7a5 g1f3 f8e7 f1c4 e8h8 c1e3 f6h5 d1d2 c8g4 e1a1
8/8/8/3Q4/8/5K2/1k6/8 b - -,a7a5 g1f3 f8e7 f1c4 e8h8 c1e3 f6h5 d1d2 c8g4 e1a1
8/8/2k1Q3/8/8/3BK3/8/8 b - -,a7a5 g1f3 f8e7 f1c4 e8h8 c1e3 f6h5 d1d2 c8g4 e1a1
rn1qkb1r/ppp1ppp1/5np1/3p4/2PP4/4P3/PP3PPP/RNBQKB1R b KQkq -,d8d7 c4d5 f6d5 e3e4 d5b6 b1c3 e7e6 f1b5 b8c6 d4d5
8/2k5/8/8/4Q3/2K5/8/8 b - -,d8d7 c4d5 f6d5 e3e4 d5b6 b1c3 e7e6 f1b5 b8c6 d4d5
rn1qk2r/pbpp1ppp/1p2pn2/8/2PPP3/2Q2P2/PP4PP/R1B1KBNR b KQkq -,d7d5 c4d5 e6d5 e4e5 f6d7 f3f4 d8h4 g2g3 h4d8 g1f3
rn1qk1nr/pp2ppbp/3p2p1/2pP4/Q1P1P1b1/5N2/PP3PPP/RNB1KB1R b KQkq -,b7b5 c4b5 g4f3 g2f3 b8d7 b1c3 g8f6 f3f4 e8h8 f1h3
8/7p/p4k2/nppP2N1/2P3N1/1P6/P6P/7K b - -,f6g5 g4e5 a5b7 h1g2 g5f4 e5d7 f4e3 h2h4 e3d4 d7f6
r2qk1nr/ppp1ppbp/3p2p1/3PN3/4P1b1/2N5/PPP1BPPP/R1BQK2R b KQkq -,g4e2 d1e2 g7e5 c1d2 d8d7 f2f4 e5g7 e4e5 d6e5 f4e5
8/8/8/5k2/3K3R/8/8/8 b - -,g4e2 d1e2 g7e5 c1d2 d8d7 f2f4 e5g7 e4e5 d6e5 f4e5
r2qk1nr/1pp2ppp/p1p5/2b1p3/4P1b1/3P1N1P/PPPN1PP1/R1BQK2R b KQkq -,g4h5 d2b3 c5d6 c1e3 g8f6 e1h1 e8h8 b3a5 d8c8 c2c3
