rn1qk1nr/4b2p/1pb5/pN1pQpp1/3P2P1/P2B4/2P2P1P/R1B1K1NR b KQkq -,g8f6 b5c7 e8f7 g1f3 h7h6 c1g5 c6e8 e5e6 f7g7 g5f6
8/5p2/6pk/R1b5/5rP1/3K1B2/6P1/8 b - -,
2kr1b1r/pp2np2/2p1b2p/4P1p1/P1p5/1nN3B1/1PRNPPPP/4KB1R b - -,e7d5 c3e4 f8b4 e2e3 e6f5 c2c4 f5e4 c4b4 b3d2 b4d4
2r5/pp1b1ppk/4p3/3pP3/8/4qN2/P3N1PQ/R3K3 b - -,h7g8 h2f4 e3f4 e2f4 c8c4 f4d3 d7c6 a1b1 g8h7 e1d2
rnbq1rk1/ppp3pp/3p1n2/4p1B1/2PPP3/P1P5/4BNPP/R2QK2R b KQ -,c8e6 c4c5 b8d7 e1h1 d8e8 a1b1 e8g6 d1d2 f6e4 f2e4
rn1qkb1r/ppp2ppp/3p4/5b2/2B1n3/5N2/PPPPQPPP/RNB1K2R b KQkq -,b8c6 b1c3 d8e7 c3d5 e7d7 d2d3 e8a8 d3e4 f5e4 e1h1
2r2rk1/1pq3pp/5p2/p2N2b1/Pn1BP3/8/1PP1Q2P/1K1R2R1 b - -,c7d6 d4c3 b4d5 d1d5 d6c6 e2g4 c8c7 g1d1 h7h5 g4h5
3rr1k1/p1q2p1P/2p2p2/1pn5/4P3/PP4bP/2PN2B1/R3QRK1 b - -,g8h7 e1e2 c7e5 g1h1 e5g5 a1d1 c5e6 d2f3 g5g6 d1d8
8/5p2/6pk/1R4P1/5r2/3K1B2/5bP1/8 b - -,
2r3k1/pp1b1pp1/4p3/3pP3/5Q2/4qN2/P3N1P1/R3K3 b - -,e3f4 e2f4 c8c4 f4d3 d7c6 e1f2 c4c2 f2g3 a7a5 a2a3
r4b1r/pp2p1kp/5Rp1/1q6/1B6/1Q6/P4PPP/3R2K1 b - -,e7f6 b4f8 h8f8 b3b5 a8d8 b5b7 g7g8 d1c1 f8f7 b7b3
2kr1bnr/ppp2ppp/2n1b3/4P3/2p2P2/4PN2/PP1B2PP/RN1K1B1R b - -,f7f6 d1e1 f8e7 b1a3 f6e5 f4e5 e7a3 b2a3 g8h6 a1c1
r1bq1rk1/p1ppppbp/1pn2np1/8/3P1P2/2PBPN2/PP4PP/RNBQ1RK1 b - -,d7d5 b1d2 c6a5 b2b3 a5b7 c1a3 c7c5 f3e5 c8f5 d3f5
2r2rk1/1p4pp/5p2/p2N2b1/Pn1BP3/8/1PQ4P/1K1R2R1 b - -,b4c6 d4c3 g8h8 c2b3 g5h6 b3b7 c6e5 c3a5 e5c4 a5b4
8/5p1k/2B3p1/1R4P1/5r2/3K4/5bP1/8 b - -,
8/p4pk1/6p1/8/r5rP/4PP1K/PR2R2P/8 b - -,g4c4 e3e4 a4a3 h3g3 c4c1 e2c2 c1g1 c2g2 g1f1 b2f2
1r4k1/R6R/6p1/2p1q3/4P3/5Q1P/5PP1/1r3NK1 b - -,b1f1 g1f1 b8b1 f3d1 b1d1 f1e2 d1a1 a7g7 e5g7 h7g7
3r1rk1/pp2nppp/2pq4/8/3p1Pn1/PN1P2P1/1PP1Q1BP/R3K2R b KQ -,g4e3 e1f2 g7g5 f4g5 f7f5 g2f3 e7g6 h1e1 f5f4 g3g4
r4b1r/pp2p2p/5kp1/1q6/8/1QB5/P4PPP/3R2K1 b - -,g4e3 e1f2 g7g5 f4g5 f7f5 g2f3 e7g6 h1e1 f5f4 g3g4
rnbq1rk1/ppp3p1/3p1n1p/4p3/2PPP2B/P1P5/4BNPP/R2QK2R b KQ -,b7b6 e1h1 d8e8 c4c5 b6c5 d4c5 g7g5 h4g3 e8c6 c5d6
8/5p1k/2B3p1/1R4P1/3r4/8/4KbP1/8 b - -,
4k3/3p4/2r5/p7/3K4/8/8/R7 b - -,c6a6 d4c4 a6a8 c4b5 a5a4 a1a3 e8e7 b5b6 e7d6 b6b7
r4rk1/ppp4p/3pb1p1/4n1q1/2P1Pp2/PPN2P2/3QB1PP/R2R2K1 b - -,e6h3 g2g3 g5h5 g3f4 e5f3 g1f2 h5g4 d2d5 f8f7 f4f5
r1bqkb1r/ppp1pppp/2n4n/3p4/4PP2/3P1N2/PPP3PP/RNBQKB1R b KQkq -,d5e4 d3e4 d8d1 e1d1 c8d7 b1c3 e8a8 d1e1 c6b4 f1d3
6k1/pp1b1pp1/4p3/3pP3/5Q2/4qN2/P3N1P1/2R1K3 b - -,e3f4 e2f4 d7c6 f3d4 g8h7 d4c6 b7c6 c1c6 h7h6 e1e2
r2q1rk1/ppp1bppp/2np1n2/4pP2/2B1P1b1/P1NP4/1PP1N1PP/R1BQK2R b KQ -,d6d5 e4d5 c6d4 h2h3 g4f5 c1e3 c7c5 d5c6 b7c6 e3f2
8/5p1k/2B3p1/1R4P1/3r3b/5K2/6P1/8 b - -,
r4B1r/pp4kp/5pp1/1q6/8/1Q6/P4PPP/3R2K1 b - -,h8f8 b3b5 a8d8 b5b7 g7g8 d1c1 f8f7 b7b3 g8g7 h2h4
8/r7/3b1k2/1R3p2/8/1P5P/6K1/8 b - -,f6e6 b5b6 a7a2 g2g1 e6d5 b3b4 a2b2 b6a6 b2b4 a6a2
2r1r1k1/3n1pp1/1q3nbp/pp2p3/4P1PB/P1P4P/1PBNQ2K/R4R2 b - -,h6h5 h4f2 b6b7 g4g5 f6d5 e4d5 g6c2 d2e4 c2e4 e2e4
r1b3nr/1pqp1kbp/p5p1/4p3/1n1pP3/2P2N2/PB3PPP/RN1QR1K1 b - -,b4c6 c3d4 c7b6 d1c2 c6d4 b2d4 e5d4 b1d2 f7f8 a1c1
r1k2b1r/R4pp1/1Q1p3p/1P2p2q/2P1P3/2P2NPb/3NKP1P/R7 b - -,d7d5 c3b4 g8f6 b1d2 h8e8 e4d5 b7b5 d1b3 c7d6 f3g5
8/5p1k/2B3p1/1R4P1/7b/3r4/4K1P1/8 b - -,
1r4k1/R6R/6p1/2p1q3/4P3/5Q1P/5PP1/5K2 b - -,b8b1 f3d1 b1d1 f1e2 d1a1 e2f3 e5c3 f3g4 a1a7 h7a7
r3nrk1/ppq4p/2n2p1Q/2p1pN1P/3pP3/3P1B2/PPP1N2K/5R2 b - -,f8f7 e2g3 c6e7 f3g4 g8h8 f5h4 f6f5 h4g6 e7g6 h5g6
r4r2/pp4kp/5pp1/1Q6/8/8/P4PPP/3R2K1 b - -,f8f7 h2h4 h7h5 f2f4 f6f5 g2g4 h5g4 h4h5 a8f8 b5b2
rn1qk2r/ppp1bppp/3p4/5b2/2B1n3/3P1N2/PPP1QPPP/RNB1K2R b KQkq -,b8c6 d3e4 f5g4 h2h3 c6d4 c4f7 e8f8 f3d4 g4e2 d4e6
r1b2rk1/1pp1qpb1/p1np1npp/4p3/P1P1P1P1/1PNPBP1P/8/R2QKBNR b KQ -,a6a5 g1e2 c6b4 c3a2 f6d7 f1g2 f7f5 e4f5 g6f5 e1h1
rn1qk2r/4b2p/1pb1Qn2/pN1p1pp1/3P2P1/P2B4/2P2P1P/R1B1K1NR b KQkq -,f5g4 h2h3 d8d7 e6d7 e8d7 c1g5 h7h5 g1e2 g4h3 a1b1
1N6/8/8/5B2/8/1K6/3k4/8 b - -,d2e3 b3c4 e3f4 f5h7 f4e5 b8c6 e5f6 c4d4 f6e6 h7e4
rnb1kb1r/pp1p1pp1/4pq1p/2p1N3/3P4/4P3/PPP2PPP/RN1QKB1R b KQkq -,b8c6 e5f3 c5d4 e3d4 g7g5 f1b5 h6h5 b5c6 b7c6 e1h1
1r2b1k1/pp3p1p/4p1p1/8/2P1B1P1/2K2P2/PP5P/3R4 b - -,f7f5 e4c2 e8c6 d1d3 a7a5 a2a3 g8f7 b2b4 b8c8 g4g5
8/p4pk1/6p1/8/r4PrP/4P2K/PR2R2P/8 b - -,g4f4 e3f4 g7h6 e2f2 a4c4 b2b3 a7a6 b3g3 c4b4 g3g4
r4rk1/ppp4p/3pb1p1/4n1q1/2P1Pp2/1PN2P2/P2QB1PP/R2R3K b - -,a8d8 c3b5 g5e7 a2a4 g6g5 b5d4 c7c5 d4e6 e7e6 d2c3
8/4k3/8/4KBr1/8/7R/8/8 b - -,g5g2 h3h7 e7d8 h7d7 d8e8 e5f6 g2a2 d7d6 a2a8 f5e4
6k1/pp1b1pp1/4p3/3pP3/5N2/5N2/P5P1/2R1K3 b - -,d7c6 f3d4 c6e8 c1c8 g8f8 c8c7 a7a5 c7b7 g7g6 b7a7
