6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8
3r1rk1/pp1qppb1/nnp3pp/8/3PP3/PPN1BNPb/2Q2PBP/R2R2K1 b - -,h3g2 g1g2 f7f5 a1c1 g6g5 f3e5 d7e6 f2f4 g7e5 d4e5
1r1q1rk1/1p1n1pbp/1Ppp1np1/p3P1B1/2P5/2NBPQ1P/P4PP1/1R3RK1 b - -,d7e5 f3e2 d8e7 d3c2 h7h6 g5f4 f6d7 f1d1 f7f5 f4g3
r4rk1/1p2bppp/p1p1p3/6P1/2B1N3/4B3/PP2K1PP/2R5 b - -,a6a5 h2h4 a5a4 g2g4 a8a5 e3f4 b7b5 c4d3 c6c5 f4d2
7R/pb6/1p3pp1/6kp/2P5/4QP1q/PP3P2/6K1 b - -,a6a5 h2h4 a5a4 g2g4 a8a5 e3f4 b7b5 c4d3 c6c5 f4d2
r5k1/ppp3bp/4p1p1/2q1n3/5r2/4N1K1/PPP1Q3/3R1R2 b - -,f4e4 d1e1 e5c4 e2c4 c5g5 g3h3 g5h4 h3g2 e4c4 e3c4
k7/8/1p6/8/8/2q5/8/1R1K4 b - -,a8b7 b1c1 c3d3 d1e1 b6b5 c1d1 d3e3 e1f1 e3f3 f1e1
r5k1/1p4p1/p1n4p/2p2R2/P2p2P1/3P1N2/qPPQ1P1P/6K1 b - -,c5c4 d3c4 a2c4 b2b3 c4e6 g1f1 a8e8 h2h3 g7g6 f5c5
5r1k/2r2bpp/p2p4/q7/2P1Q3/1P2NB2/P4PPP/R5K1 b - -,a5a3 e4c2 a6a5 h2h4 a5a4 a1b1 f8b8 b3a4 b8b1 c2b1
2r5/5pk1/4p1p1/1p6/5P1p/1PrR2P1/1KPR3P/8 b - -,
8/6k1/2R5/7p/r5p1/3KP1P1/5P2/8 b - -,a4a2 c6c2 a2a8 e3e4 g7g6 c2c6 g6g5 c6d6 a8a3 d3e2
r1bq1rk1/ppp2ppp/3p1Nn1/n7/2BPP3/5N1P/PP3PP1/R1BQ1RK1 b - -,g8h8 f6h7 a5c4 f3g5 h8g8 f2f4 f7f6 d1h5 f6g5 h5g6
8/R7/8/6rp/5p2/4pPk1/6P1/6K1 b - -,h5h4 a7e7 e3e2 e7e2 g5c5 e2e1 c5c2 g1h1 c2f2 e1g1
rnbqk2r/ppp2ppp/5n2/2bpp3/4P3/2NP1P1P/PPP3P1/R1BQKBNR b KQkq -,c8e6 c1g5 c7c6 d1d2 h7h6 g5f6 d8f6 e1a1 d5d4 c3e2
r1b4r/1p3k1p/p2q1npB/3Ppp2/7Q/8/PP2BPPP/R4RK1 b - -,f5f4 g2g3 c8f5 a1c1 a8c8 g3f4 e5e4 e2c4 h8e8 c4b3
3r1bk1/1p3p1p/2n3p1/4P3/4r1nN/1NB3R1/P5PP/5R1K b - -,g4e3 f1e1 e3c2 e1c1 e4h4 e5e6 h4f4 c3d2 f4f5 g3c3
k7/8/8/1R6/8/2q5/8/3K4 b - -,g4e3 f1e1 e3c2 e1c1 e4h4 e5e6 h4f4 c3d2 f4f5 g3c3
r1bqkb1r/1pnppppp/p1n5/2p1P3/2P5/1PN2N2/PB1P1PPP/R2QKB1R b KQkq -,c7e6 c3d5 g7g6 d2d4 c5d4 f3d4 f8g7 f2f4 c6d4 b2d4
4rrk1/pp1q3p/2npb1p1/2p2p2/2Pb1P2/2NPB1P1/PP4BP/R2QR2K b - -,e6f7 e3d4 e8e1 d1e1 c6d4 e1d2 f8e8 a1e1 e8e1 d2e1
8/8/7p/3R2p1/p3pkP1/P1P4P/1r6/4K3 b - -,b2a2 d5d6 a2a3 d6f6 f4e3 e1d1 a3c3 f6h6 a4a3 h6h8
r1bq1rk1/1p3p2/1N1p1n1p/2p3p1/1pPN4/P5P1/1B3PBP/R2Q1RK1 b - -,c8g4 d1c2 b4a3 b6a8 a3b2 c2b2 c5d4 b2d4 g4e6 a8c7
r2q1rk1/pbnnppbp/1p1p2p1/2p1P3/2PP1P2/1PN1BN2/P2QB1PP/R3R1K1 b - -,c5d4 f3d4 d6e5 f4e5 d7e5 a1d1 d8d6 e3f4 f8d8 d2e3
4rr2/p6k/1pp1P1p1/2p1RpPp/8/2P2P2/P5P1/4R1K1 b - -,f5f4 g1h2 h7g7 h2h3 c5c4 h3h4 b6b5 e5c5 e8c8 a2a4
rnbqkbnr/pp3ppp/4p3/2p1P3/2BP1B2/8/PP3PPP/RN1QK1NR b KQkq -,g8e7 g1f3 b8c6 e1h1 e7g6 f4g3 c6d4 b1c3 f8e7 f3d4
r2qk2r/1b1nppb1/p2p1np1/1p5p/3NP3/P1N1BP1P/1PPQB1P1/2KR3R b kq -,d7b6 c1b1 d8c7 h1e1 a8b8 g2g4 b7a8 e2f1 f6d7 d2f2
3r1rk1/1p2bppp/p1p1p3/2N3P1/2B5/4B3/PP2K1PP/2R5 b - -,e7c5 e3c5 f8e8 c5e3 d8d6 h2h4 e8d8 c4b3 a6a5 h4h5
1k6/3KQ3/2r5/8/8/8/8/8 b - -,
r1b2rk1/2qp1ppp/ppn1pn2/2b1P1Q1/8/2N2N2/PPP1BPPP/R1BR2K1 b - -,c6e5 f3e5 d7d5 c1f4 c5d6 e5d3 f8d8 e2f3 c8b7 c3e2
r1b2bkr/ppp3pp/8/3qp3/8/2P5/PPnP1PPP/RNBQ1RK1 b - -,c2a1 d2d4 e5d4 b1d2 h7h6 d2f3 c8e6 c3d4 f8d6 f1e1
