6B1/8/1q6/8/1k6/8/1B6/1K6 b - -,f7h5 g4c4 b5b8 f2f5 h7h6 b4b5 h5e8 c4a4 g5d8 f5e5
rnb1k2r/pp1p1pbp/1qp3p1/3pP1BP/3P4/2N5/PPP2PP1/R2QK1NR b KQkq -,h8g8 h5h6 g7h8 g1f3 b6b2 c3e2 b8a6 e1h1 b2a3 f1e1
r4rk1/pp4pp/3pp3/4nNq1/4PP2/2PP2P1/P5Q1/RN3RK1 b - -,g5h5 f4e5 e6f5 b1d2 f5e4 d2e4 h5e5 f1f8 a8f8 a1f1
8/8/4bp2/8/pR3kpp/8/1P5K/8 b - -,f4g5 h2g1 e6b3 b4b7 f6f5 b7g7 g5f6 g7h7 h4h3 h7h6
4k3/8/p7/P1P3p1/1P2Kp2/8/8/8 b - -,
8/8/5p2/p1p1kp2/2P3P1/3K3P/1P4P1/3B4 b - -,e5d6 g4f5 d6e5 h3h4 e5f5 h4h5 f5f4 h5h6 f4g3 d3e4
1r4k1/2q2pp1/7p/p1BP4/1pP5/1Q5P/5PP1/R5K1 b - -,c7c5 d5d6 b8d8 b3e3 c5c4 e3b6 d8d7 a1a5 c4c1 g1h2
8/8/7K/5P1R/8/3k4/8/5Q2 b - -,c7c5 d5d6 b8d8 b3e3 c5c4 e3b6 d8d7 a1a5 c4c1 g1h2
rnbq1rk1/pp1pbpp1/4pn1p/8/2PP3B/2NB4/PP3PPP/R2QK1NR b KQ -,d7d5 g1f3 d5c4 d3c4 b8c6 e1h1 b7b6 a2a3 c8b7 d1d3
r3k2r/p2p1ppp/1q6/8/2QNP3/3n1P2/PP4PP/R1B2KbR b - -,b6d4 c4c2 g1e3 c1e3 d4e3 a1d1 d3c5 c2e2 e3e2 f1e2
6k1/5bpp/8/4r1b1/pPp1R3/2N5/1PP2R2/1K6 b - -,e5e6 f2f5 g5d8 e4e6 f7e6 f5c5 e6g4 c5c4 h7h5 b4b5
8/8/5p2/p1p1k3/2P3P1/3K4/1P4P1/3B4 b - -,e5d6 d3e4 d6e6 d1c2 e6f7 e4f5 f7e7 c2a4 e7f7 g4g5
1k1R3N/pp6/2p5/4n1P1/8/1P3P2/PP5P/6K1 b - -,b8c7 d8e8 e5f3 g1g2 f3g5 e8e5 a7a5 e5g5 a5a4 b3a4
r1bqnrk1/4bppp/p2pp3/1p2P1N1/1n3P2/1PNB4/PBPQ3P/2KR2R1 b - -,e7g5 f4g5 d8e7 c3e4 d6e5 b2e5 g8h8 d2f2 b4d3 d1d3
5rk1/1bp1bpp1/pp2p2P/4n1P1/4P3/PBN1B3/1PP5/2KR4 b - -,f8d8 d1g1 g8h7 g1f1 e7d6 a3a4 g7h6 g5h6 b7c6 e3f4
rnbqk2r/pp2bppp/4pn2/2p1P3/3p4/3P1NP1/PPP1QPBP/RNB1K2R b KQkq -,f6d5 c2c3 d4c3 b2c3 b7b6 e1h1 c8b7 a2a3 b8c6 c3c4
8/8/7K/5P2/3k3R/8/8/5Q2 b - -,f6d5 c2c3 d4c3 b2c3 b7b6 e1h1 c8b7 a2a3 b8c6 c3c4
8/5pk1/r6p/P5P1/R7/6P1/5PK1/8 b - -,h6g5 g2f3 g7g6 f3e4 g6f6 a4a2 f6e6 a2a1 f7f6 a1a3
r2k3r/1b3p1p/p2q1Pp1/6P1/P1p5/5Q1B/1PP4P/3R2K1 b - -,d6d1 f3d1 d8c7 d1d7 c7b8 d7f7 b7c8 h3g2 a8a7 f7d5
r4rk1/ppp3pp/3p4/4p3/2P1Rp2/B2P1q2/P4P2/4RK2 b - -,d6d1 f3d1 d8c7 d1d7 c7b8 d7f7 b7c8 h3g2 a8a7 f7d5
r2qkb1r/ppp1ppp1/2n2n1p/3p4/3PbB2/4PN2/PPPN1PPP/R2QKB1R b KQkq -,a7a6 d2e4 f6e4 f1d3 e7e6 d3e4 d5e4 f3d2 d8e7 c2c3
2r5/6P1/5p2/pk2p3/3pP3/1P4P1/5PK1/2R5 b - -,c8e8 c1c7 b5b4 c7b7 b4c3 f2f4 e8g8 g2f3 d4d3 b7d7
3r2k1/1ppr1pp1/p1n4p/3n4/4RB2/8/P1B2P1P/R5K1 b - -,d5f4 e4f4 c6d4 f4d4 d7d4 a1c1 b7b6 g1g2 c7c5 c2b3
8/8/8/1B1K4/8/5k2/2N5/8 b - -,d5f4 e4f4 c6d4 f4d4 d7d4 a1c1 b7b6 g1g2 c7c5 c2b3
r4rk1/pp2ppbp/1n1p1np1/q1pP4/2P2B2/1PN1PB1P/P4PP1/R2Q1RK1 b - -,a5c3 a2a4 b6d7 a1a2 c3a5 g2g4 f6e8 f3g2 a8b8 f4h2
rnbqk2r/pp3ppp/2p1p3/3p4/1bPPnB2/2N1P3/PPQ2PPP/2KR1BNR b kq -,b4c3 b2c3 d8a5 c1b2 g7g5 f4e5 f7f6 e5g3 b8d7 f1d3
r2qkb1r/5ppp/p4n2/1p2n3/3N4/2N2QP1/PP3PKP/2R1R3 b kq -,a8b8 e1e5 f8e7 d4c6 e8h8 c6e7 g8h8 e7c6 d8c7 e5e7
rnbq1rk1/pp2bpp1/4pn1p/8/2BP3B/2N2N2/PP3PPP/R2QK2R b KQ -,b8c6 e1h1 b7b6 a2a3 c8b7 d1d3 f6h5 h4g3 e7f6 a1d1
2R2b1k/6pp/p7/8/3P4/4P3/PP2qPPP/R5K1 b - -,
r5k1/4bppp/1nRp4/1p1P1BP1/p6P/qP3Q2/P1P2P2/1K1R4 b - -,e7f8 f5h7 g8h7 c6b6 a4b3 f3b3 a3a7 b6b5 a7f2 h4h5
r4rk1/pppn1pp1/3q3p/3p4/3P4/P1QNP3/1P3PPP/R3K2R b KQ -,a7a5 e1h1 c7c6 f1c1 d7b6 a3a4 d6c7 b2b3 f8b8 c3c5
r2qkb1r/pppb1ppp/1n1p1n2/4p3/4P3/1BNPBN2/PPP2PPP/R2QK2R b KQkq -,f8e7 a2a4 c7c5 a4a5 b6c8 h2h3 e8h8 g2g4 f6e8 g4g5
r4rk1/3R1ppp/2P5/8/3Pp3/1N2n3/p5PP/R5K1 b - -,e3c2 a1c1 c2b4 c6c7 f8e8 g1f1 b4d3 c1a1 f7f5 h2h4
r2q1rk1/1ppn1pbp/p2pp1p1/n7/2PPP3/4BB2/PP1QNPPP/1RR3K1 b - -,c7c5 b2b4 c5b4 d2b4 a8c8 e2f4 f8e8 d4d5 d7c5 d5e6
2r3k1/pp3pp1/1r2p2p/1q1pP3/8/2P3P1/PPQ2P1P/1R2R1K1 b - -,b5a6 b1a1 d5d4 e1e4 b6b4 c2b1 c8c3 a2a3 b4b3 e4d4
8/8/5p2/p1p1k3/2P3B1/3K3P/1P4P1/8 b - -,b5a6 b1a1 d5d4 e1e4 b6b4 c2b1 c8c3 a2a3 b4b3 e4d4
8/6p1/2k5/Pp2p2p/1P2P2P/5K2/6P1/8 b - -,c6c7 f3e2 c7b7 e2d2 g7g6 d2c1 b7a7 c1d1 a7b7 d1d2
r2qr1k1/pbpn1pp1/1p1bpn1p/3p4/2PP4/1PN1PNP1/PB3PBP/2RQ1RK1 b - -,a8c8 c4d5 f6d5 d1e2 d5c3 c1c3 c7c5 f1d1 d8e7 c3c1
1k2b3/1pq3rn/7p/2P2N1p/n2Pp3/KQB4R/P7/3R4 b - -,g7g2 f5d6 a4c3 b3c3 e8f7 d6f7 c7f7 d1d2 g2d2 c3d2
3rR3/1p3kbp/p1bq1pp1/3p4/2B5/5NP1/PP1Q1PP1/3R2K1 b - -,f7e8 c4b3 f6f5 d1e1 e8d7 f3d4 g7d4 d2d4 d7c7 a2a3
5rk1/3q1pp1/3p1b1p/3Bp3/4Pn2/2P5/1P1N1PPP/Q4RK1 b - -,f4d5 e4d5 d7b7 f1d1 b7d5 d2f1 f8a8 d1d5 a8a1 d5d6
r1bqkb1r/ppp2ppp/2n5/3pp3/4n3/1P4PN/PBPPPPBP/RN1Q1RK1 b kq -,h7h5 e2e3 c8f5 d2d3 e4f6 h3g5 h5h4 c2c4 f6g4 g5f7
